frame_no,time (ms),pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green
1,1,302,180,0.2718,0.162,,,,
2,15,304,182,0.2736,0.1638,,,,
3,26,308,182,0.2772,0.1638,,,,
4,40,310,182,0.279,0.1638,,,,
5,46,314,184,0.2826,0.1656,,,,
6,64,318,186,0.2862,0.1674,,,,
7,73,320,186,0.288,0.1674,,,,
8,80,324,188,0.2916,0.1692,,,,
9,95,328,190,0.2952,0.171,,,,
10,104,330,192,0.297,0.1728,,,,
11,112,334,194,0.3006,0.1746,,,,
12,124,338,196,0.3042,0.1764,,,,
13,134,340,198,0.306,0.1782,,,,
14,147,344,200,0.3096,0.18,,,,
15,157,348,204,0.3132,0.1836,,,,
16,170,352,206,0.3168,0.1854,,,,
17,183,354,208,0.3186,0.1872,,,,
18,197,358,212,0.3222,0.1908,,,,
19,202,362,214,0.3258,0.1926,,,,
20,218,366,218,0.3294,0.1962,,,,
21,224,368,220,0.3312,0.198,,,,
22,247,372,224,0.3348,0.2016,,,,
23,261,376,226,0.3384,0.2034,,,,
24,264,380,230,0.342,0.207,,,,
25,280,382,234,0.3438,0.2106,,,,
26,284,386,238,0.3474,0.2142,,,,
27,292,390,242,0.351,0.2178,,,,
28,304,394,246,0.3546,0.2214,,,,
29,316,398,250,0.3582,0.225,,,,
30,327,402,254,0.3618,0.2286,,,,
31,338,406,260,0.3654,0.234,,,,
32,353,408,264,0.3672,0.2376,,,,
33,361,412,268,0.3708,0.2412,,,,
34,369,416,274,0.3744,0.2466,,,,
35,384,420,280,0.378,0.252,,,,
36,393,424,284,0.3816,0.2556,,,,
37,402,428,290,0.3852,0.261,,,,
38,412,432,296,0.3888,0.2664,,,,
39,424,434,300,0.3906,0.27,,,,
40,435,438,306,0.3942,0.2754,,,,
41,447,442,312,0.3978,0.2808,,,,
42,458,446,318,0.4014,0.2862,,,,
43,472,450,324,0.405,0.2916,,,,
44,479,454,330,0.4086,0.297,,,,
45,497,458,336,0.4122,0.3024,,,,
46,507,462,342,0.4158,0.3078,,,,
47,517,466,350,0.4194,0.315,,,,
48,524,470,356,0.423,0.3204,,,,
49,536,474,362,0.4266,0.3258,,,,
50,547,478,370,0.4302,0.333,,,,
51,559,482,376,0.4338,0.3384,,,,
52,567,486,384,0.4374,0.3456,,,,
53,585,490,390,0.441,0.351,,,,
54,590,494,398,0.4446,0.3582,,,,
55,600,496,404,0.4464,0.3636,,,,
56,614,500,412,0.45,0.3708,,,,
57,624,506,420,0.4554,0.378,,,,
58,635,508,428,0.4572,0.3852,,,,
59,646,512,436,0.4608,0.3924,,,,
60,658,516,444,0.4644,0.3996,,,,
61,667,520,454,0.468,0.4086,,,,
62,680,524,462,0.4716,0.4158,,,,
63,691,528,470,0.4752,0.423,,,,
64,700,532,478,0.4788,0.4302,,,,
65,713,536,488,0.4824,0.4392,,,,
66,722,540,496,0.486,0.4464,,,,
67,738,544,504,0.4896,0.4536,,,,
68,747,548,514,0.4932,0.4626,,,,
69,756,552,522,0.4968,0.4698,,,,
70,768,556,532,0.5004,0.4788,,,,
71,781,560,540,0.504,0.486,,,,
72,793,564,550,0.5076,0.495,,,,
73,801,568,558,0.5112,0.5022,,,,
74,813,574,568,0.5166,0.5112,,,,
75,827,576,578,0.5184,0.5202,,,,
76,834,580,588,0.522,0.5292,,,,
77,848,586,598,0.5274,0.5382,,,,
78,858,588,608,0.5292,0.5472,,,,
79,869,592,618,0.5328,0.5562,,,,
80,878,596,628,0.5364,0.5652,,,,
81,889,600,638,0.54,0.5742,,,,
82,902,604,648,0.5436,0.5832,,,,
83,914,608,660,0.5472,0.594,,,,
84,924,612,670,0.5508,0.603,,,,
85,934,616,680,0.5544,0.612,,,,
86,945,620,690,0.558,0.621,,,,
87,961,624,702,0.5616,0.6318,,,,
88,967,628,712,0.5652,0.6408,,,,
89,978,632,724,0.5688,0.6516,,,,
90,989,636,734,0.5724,0.6606,,,,
91,1001,640,746,0.576,0.6714,,,,
92,1011,644,758,0.5796,0.6822,,,,
93,1024,648,768,0.5832,0.6912,,,,
94,1036,652,780,0.5868,0.702,,,,
95,1048,656,790,0.5904,0.711,,,,
96,1056,660,802,0.594,0.7218,,,,
97,1068,664,814,0.5976,0.7326,,,,
98,1078,668,826,0.6012,0.7434,,,,
99,1089,672,838,0.6048,0.7542,,,,
100,1100,678,850,0.6102,0.765,,,,
101,1115,682,862,0.6138,0.7758,,,,
102,1126,684,874,0.6156,0.7866,,,,
103,1136,688,886,0.6192,0.7974,,,,
104,1147,692,898,0.6228,0.8082,,,,
105,1156,696,910,0.6264,0.819,,,,
106,1167,700,924,0.63,0.8316,,,,
107,1180,704,936,0.6336,0.8424,,,,
108,1192,708,948,0.6372,0.8532,,,,
109,1206,712,962,0.6408,0.8658,,,,
110,1214,716,974,0.6444,0.8766,,,,
111,1222,720,986,0.648,0.8874,,,,
112,1238,724,1000,0.6516,0.9,,,,
