frame_no,time (ms),pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green
0,0,,,,,,,,
1,13,,,,,,,,
2,28,,,,,,,,
3,38,,,,,,,,
4,51,,,,,,,,
5,79,840,122,0.5821200000000001,0.08454600000000001,,,,
6,93,840,122,0.5821200000000001,0.08454600000000001,-0.009126502552832828,0.009126502552822956,1.1966371639908857,-1.1966371639902293
7,105,840,122,0.5821200000000001,0.08454600000000001,0.007074767163082063,-0.007074767163096234,0.10757540874933813,-0.10757540874852418
8,127,840,122,0.5821200000000001,0.08454600000000001,0.004009081701893735,-0.004009081701896398,-0.2582718978921662,0.2582718978917334
9,150,842,120,0.5835060000000001,0.08316000000000001,-0.003560301438754919,0.003560301438747581,-0.46483089173897013,0.4648308917382875
10,158,840,122,0.5821200000000001,0.08454600000000001,-0.0033226297210200355,0.003322629721013567,-0.4251133079920673,0.425113307991978
11,166,840,122,0.5821200000000001,0.08454600000000001,-0.004003926442742928,0.004003926442741488,-0.22408743413766025,0.22408743413713084
12,188,840,122,0.5821200000000001,0.08454600000000001,-0.011083492958474718,0.0110834929584772,0.6447617530543769,-0.6447617530546442
13,201,840,122,0.5821200000000001,0.08454600000000001,2.6285291932513962e-15,6.571322983128491e-16,-3.812184075499519e-14,-1.4908538437868467e-14
14,215,840,122,0.5821200000000001,0.08454600000000001,2.7094733377107663e-15,0.0,-3.7919918871094353e-14,1.4616275302666965e-14
15,237,840,122,0.5821200000000001,0.08454600000000001,-2.7950600019613126e-15,-6.987650004903282e-16,-1.1032751945593662e-13,2.1067533894075694e-14
16,250,840,122,0.5821200000000001,0.08454600000000001,5.8738670319685044e-15,-0.014608641287940243,3.732367810647324e-13,-0.7228658547796842
17,256,840,122,0.5821200000000001,0.08454600000000001,0.010507373308988353,-0.007252132785526836,0.8415965340164802,-0.09871464052538861
18,277,840,122,0.5821200000000001,0.08454600000000001,0.006647879528780157,-0.0011514127646032638,-0.19622155873440536,0.7170771717455268
19,284,840,120,0.5821200000000001,0.08316000000000001,0.015613386304054054,0.0012371735357711547,0.26533630335696334,1.09477902452107
20,295,842,122,0.5835060000000001,0.08454600000000001,0.005531775416951526,-0.008835823564280426,-0.8282518784343522,-0.3775422750430614
21,311,840,122,0.5821200000000001,0.08454600000000001,-0.009876049064723452,-0.00029183516198954976,-2.0433327656933136,-0.2863121530971033
22,316,842,122,0.5835060000000001,0.08454600000000001,-0.015297385074492898,0.007492249844420503,-1.712844862791339,-1.0403442156699596
23,328,840,120,0.5821200000000001,0.08316000000000001,-0.020509752308763268,0.0031182135651696163,0.8267349377962658,1.183428750944275
24,338,840,122,0.5821200000000001,0.08454600000000001,-0.011770923245438521,-0.013722775681589786,0.5673164817009133,-0.7841071576565242
25,341,840,122,0.5821200000000001,0.08454600000000001,-0.024533322985689453,-0.0021560332454611214,1.780137054366135,0.42760510740009583
26,354,840,122,0.5821200000000001,0.08454600000000001,8.659490635299159e-15,0.011780736786119902,-9.301707577656622e-13,-0.4383985539687105
27,362,840,120,0.5821200000000001,0.08316000000000001,4.206023947998275e-15,-0.004096461039512019,1.4523909448456418e-13,1.7552533805799817
28,375,840,122,0.5821200000000001,0.08454600000000001,4.095119318999293e-15,0.008759080016919399,1.9147012371885433e-13,1.0520776076310185
29,386,840,122,0.5821200000000001,0.08454600000000001,-4.2303804249141276e-15,0.010511707781333954,-7.054534784406655e-13,-0.16039807276772827
30,393,840,122,0.5821200000000001,0.08454600000000001,0.0,-0.0037863235622143934,-8.929832298122238e-15,-3.4314768371025193
31,402,840,122,0.5821200000000001,0.08454600000000001,4.440892098500626e-15,-0.009971883162728234,-2.4699130971216066e-12,0.49121172665405616
32,413,840,122,0.5821200000000001,0.08454600000000001,-4.282778297617693e-15,-0.018462125077634846,3.714107888074171e-13,-0.32295841453452656
33,419,840,120,0.5821200000000001,0.08316000000000001,-8.374570885702084e-15,-0.013317339459878732,7.934706226984343e-13,1.2278970602406702
34,434,840,122,0.5821200000000001,0.08454600000000001,-4.452483644627435e-15,0.01067663506436151,1.825283640157102e-14,2.312063376241099
