frame_no,time (ms),pos_pixel_x-darkorange,pos_pixel_y-darkorange,r_x-darkorange,r_y-darkorange,v_x-darkorange,v_y-darkorange,a_x-darkorange,a_y-darkorange,pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink,pos_pixel_x-yellowneon,pos_pixel_y-yellowneon,r_x-yellowneon,r_y-yellowneon,v_x-yellowneon,v_y-yellowneon,a_x-yellowneon,a_y-yellowneon
0,0,,,,,,,,,736,542,0.5100480000000001,0.375606,,,,,,,,,,,,,,,,,,,,
1,11,,,,,,,,,736,542,0.5100480000000001,0.375606,0.0,-0.03075842933953563,4.551963269247579e-13,0.15228754973221334,,,,,,,,,,,,,,,,
2,22,,,,,,,,,736,542,0.5100480000000001,0.375606,4.382459307730881e-15,-0.030636398889178088,2.6365496722969237e-14,0.5126958150041772,,,,,,,,,,,,,,,,
3,35,712,730,0.493416,0.5058900000000001,,,,,736,540,0.5100480000000001,0.37422,5.983834360854299e-15,-0.023967550458005315,-9.133981002346787e-14,0.5179101235898776,62,774,0.042966000000000004,0.536382,,,,,,,,,,,,
4,61,712,730,0.493416,0.5058900000000001,-5.1789440533671855e-15,0.0,-8.006454304750705e-15,-6.150924784527579e-14,736,540,0.5100480000000001,0.37422,0.0,-0.021411458149299414,1.330116081668435e-13,0.16612779488480467,62,774,0.042966000000000004,0.536382,0.0,0.0,1.95178419100551e-15,-1.3617534095530683e-13,,,,,,,,
5,81,712,730,0.493416,0.5058900000000001,-3.133923326057645e-15,0.0,4.598452211731277e-15,1.0313477277469451e-13,736,540,0.5100480000000001,0.37422,-2.4082702313390117e-15,-0.022671631697862023,-3.430065224566724e-13,-0.08114346945891633,62,774,0.042966000000000004,0.536382,-1.9587020787860282e-16,0.0,-7.0104246175466e-15,5.852955201476963e-14,,,,,,,,
6,97,712,730,0.493416,0.5058900000000001,-2.515934749587507e-15,0.0,-2.0017316154432776e-13,-1.5972647325517122e-13,736,540,0.5100480000000001,0.37422,-2.515934749587507e-15,-0.020044182748832125,-1.9064641236627578e-13,-0.32892346988587695,62,774,0.042966000000000004,0.536382,0.0,2.515934749587507e-15,-3.285519687613261e-14,1.628283985355895e-13,,,,,,,,
7,103,712,730,0.493416,0.5058900000000001,-0.008062643964006523,2.9043434208020356e-15,-0.6756295636112335,-3.389273815176268e-13,736,538,0.5100480000000001,0.372834,-0.008062643964006523,-0.020244754224858687,-0.6756295636113663,0.12288605009669742,62,774,0.042966000000000004,0.536382,5.445643914003817e-16,5.808686841604071e-15,-3.238461763207642e-14,-6.451681349405494e-13,,,,,,,,
8,123,712,730,0.493416,0.5058900000000001,-0.009269507076449449,6.546315223404965e-15,-0.26450480035837237,-4.023608657801522e-13,736,538,0.5100480000000001,0.372834,-0.009269507076449449,-0.029661020469792323,-0.2645048003590777,-0.07233713757309249,62,774,0.042966000000000004,0.536382,-0.014785230957908265,3.2731576117024827e-15,-1.0199384028913874,-1.6556203683965945e-13,,,,,,,,
9,138,712,730,0.493416,0.5058900000000001,-0.0018327046906339423,0.0,0.5147667886432485,-2.3781205959325436e-13,736,538,0.5100480000000001,0.372834,-0.0018327046906371105,-0.028792398360570466,0.5147667886431379,-0.05523988894872044,62,774,0.042966000000000004,0.536382,-0.004687566300773123,0.0,0.29139070821696733,1.9591192827064972e-13,,,,,,,,
