frame_no,time (ms),pos_pixel_x-darkorange,pos_pixel_y-darkorange,r_x-darkorange,r_y-darkorange,v_x-darkorange,v_y-darkorange,a_x-darkorange,a_y-darkorange,pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink,pos_pixel_x-yellowneon,pos_pixel_y-yellowneon,r_x-yellowneon,r_y-yellowneon,v_x-yellowneon,v_y-yellowneon,a_x-yellowneon,a_y-yellowneon
0,0,,,,,,,,,824,518,0.571032,0.358974,,,,,,,,,,,,,,,,,,,,
1,14,,,,,,,,,824,518,0.571032,0.358974,0.04761153320772078,-9.957557652448544e-15,-3.537874496783839,9.23145393961319e-13,,,,,,,,,,,,,,,,
2,26,,,,,,,,,826,518,0.572418,0.358974,0.014556793692492232,-5.7003264276335316e-15,-1.561884708050485,6.493659575211366e-13,,,,,,,,,,,,,,,,
3,39,712,730,0.493416,0.5058900000000001,,,,,826,518,0.572418,0.358974,0.0006724152079926713,2.9679909476875664e-15,-0.9634692447788262,-5.677734909408718e-13,58,776,0.040194,0.537768,,,,,,,,,,,,
4,46,712,730,0.493416,0.5058900000000001,0.0306161040346355,1.2854613092540158e-14,-2.2558001725789327,-5.148921814645677e-13,824,518,0.571032,0.358974,-0.005525495338571889,-5.640848492694191e-15,-0.4884824331296691,6.439456539115002e-14,60,776,0.041580000000000006,0.537768,0.05169420795530906,-0.030616104034629072,-1.7112143193895728,2.255800172578662,,,,,,,,
5,71,712,730,0.493416,0.5058900000000001,-0.014428426544822454,-1.0667012714022362e-14,-0.4109373324607771,6.116259769745799e-13,824,518,0.571032,0.358974,-0.007177359054766288,-2.592981289426122e-15,1.303645620630932,1.0383570925020704e-13,60,776,0.041580000000000006,0.537768,0.015648792678989734,0.009095043476141521,-0.6165423415358366,-0.4559304710514128,,,,,,,,
6,86,712,730,0.493416,0.5058900000000001,-0.017134418592153634,2.485798908217619e-15,-0.18889090523329954,-1.4379570500555917e-13,824,518,0.571032,0.358974,-0.001623954677612348,1.2428994541088095e-15,0.6127267519766495,2.178935736740288e-14,60,776,0.041580000000000006,0.537768,0.006400657555951849,0.002256086410371206,-0.616542341535895,-0.4559304710516002,,,,,,,,
7,96,710,730,0.49203,0.5058900000000001,-0.011016109435286482,-4.7089237550268135e-15,0.6280399019841371,1.9680220523824918e-14,824,518,0.571032,0.358974,0.004638357102408152,1.1772309387567034e-15,-0.2217272013354595,-7.913329228738932e-14,60,778,0.041580000000000006,0.539154,-1.616211251567627e-16,0.010322471374737558,-8.480162878861744e-15,0.10295459874355922,,,,,,,,
8,124,710,730,0.49203,0.5058900000000001,0.006608969004315617,2.483465627541791e-15,1.3188656778093981,1.7999816342261793e-13,826,518,0.572418,0.358974,-0.0018035750015702404,-0.01169028090338384,-0.568497806202425,-0.6490236689238853,60,776,0.041580000000000006,0.537768,0.0,0.0012755905039354405,9.243479812368243e-16,-0.5122054638856764,,,,,,,,
9,135,710,730,0.49203,0.5058900000000001,0.009589663950741739,0.0,0.7977637073282592,3.776318424026013e-13,824,518,0.571032,0.358974,-0.002368366856955609,-0.005650302215240682,-0.44330622998680547,-0.0016657748722380382,,,,,,,,,684,644,0.47401200000000004,0.446292,,,,
10,154,712,730,0.493416,0.5058900000000001,0.016477302410945152,0.0,-0.12680438017132706,7.953685361322471e-14,824,518,0.571032,0.358974,-0.005002494539115833,-0.011858164789359879,-0.12720262511576053,-0.22985780253860233,60,778,0.041580000000000006,0.539154,3.0792046480667085e-16,0.0004584391939909127,1.347015175491893e-14,0.5975367956637895,,,,,,,,
11,168,712,730,0.493416,0.5058900000000001,0.01722393099334355,-2.6063440464666953e-15,-0.7738820568319559,2.617242665917837e-13,824,516,0.571032,0.357588,-0.010280749909804982,-0.02255958428347006,0.6484464789024107,-0.7600075561962303,60,776,0.041580000000000006,0.537768,1.7669036085164223e-16,0.003003666092960121,6.657507621415556e-15,-0.27869927012892876,684,644,0.47401200000000004,0.446292,1.5506755128814533e-15,-0.009705776029097982,5.196873102078422e-13,-1.723398193354616
