frame_no,time (ms),pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink
0,0,,,,,,,,,,,,,,,,
1,11,,,,,,,,,,,,,,,,
2,24,,,,,,,,,,,,,,,,
3,37,,,,,,,,,,,,,,,,
4,48,,,,,,,,,,,,,,,,
5,64,,,,,,,,,,,,,,,,
6,79,,,,,,,,,,,,,,,,
7,100,,,,,,,,,,,,,,,,
8,117,,,,,,,,,,,,,,,,
9,122,,,,,,,,,,,,,,,,
10,134,,,,,,,,,,,,,,,,
11,145,,,,,,,,,,,,,,,,
12,153,,,,,,,,,,,,,,,,
13,162,,,,,,,,,,,,,,,,
14,171,,,,,,,,,,,,,,,,
15,186,,,,,,,,,,,,,,,,
16,196,,,,,,,,,,,,,,,,
17,206,,,,,,,,,,,,,,,,
18,219,,,,,,,,,,,,,,,,
19,226,,,,,,,,,,,,,,,,
20,237,,,,,,,,,,,,,,,,
21,256,,,,,,,,,,,,,,,,
22,274,,,,,,,,,,,,,,,,
23,281,,,,,,,,,,,,,,,,
24,293,,,,,,,,,,,,,,,,
25,311,,,,,,,,,,,,,,,,
26,320,,,,,,,,,,,,,,,,
27,323,,,,,,,,,,,,,,,,
28,333,,,,,,,,,,,,,,,,
29,355,,,,,,,,,,,,,,,,
30,366,,,,,,,,,,,,,,,,
31,375,,,,,,,,,,,,,,,,
32,383,,,,,,,,,,,,,,,,
33,402,,,,,,,,,,,,,,,,
34,406,,,,,,,,,,,,,,,,
35,415,,,,,,,,,,,,,,,,
36,419,,,,,,,,,,,,,,,,
37,440,,,,,,,,,,,,,,,,
38,453,,,,,,,,,,,,,,,,
39,459,,,,,,,,,,,,,,,,
40,465,,,,,,,,,,,,,,,,
41,482,,,,,,,,,,,,,,,,
42,495,,,,,,,,,,,,,,,,
43,505,,,,,,,,,,,,,,,,
44,515,,,,,,,,,,,,,,,,
45,524,,,,,,,,,,,,,,,,
46,533,,,,,,,,,,,,,,,,
47,542,,,,,,,,,,,,,,,,
48,547,,,,,,,,,,,,,,,,
49,556,,,,,,,,,,,,,,,,
50,577,,,,,,,,,,,,,,,,
51,582,,,,,,,,,,,,,,,,
52,592,,,,,,,,,,,,,,,,
53,601,,,,,,,,,,,,,,,,
54,609,,,,,,,,,,,,,,,,
55,620,,,,,,,,,,,,,,,,
56,629,,,,,,,,,,,,,,,,
57,647,,,,,,,,,,,,,,,,
58,659,,,,,,,,,,,,,,,,
59,664,,,,,,,,,,,,,,,,
60,680,,,,,,,,,,,,,,,,
61,687,,,,,,,,,,,,,,,,
62,697,,,,,,,,,,,,,,,,
63,713,,,,,,,,,,,,,,,,
64,722,,,,,,,,,,,,,,,,
65,731,,,,,,,,,,,,,,,,
66,737,,,,,,,,,,,,,,,,
67,759,,,,,,,,,,,,,,,,
68,763,,,,,,,,,,,,,,,,
69,770,,,,,,,,,,,,,,,,
70,785,,,,,,,,,,,,,,,,
71,798,,,,,,,,,,,,,,,,
72,807,,,,,,,,,,,,,,,,
73,818,,,,,,,,,,,,,,,,
74,833,,,,,,,,,,,,,,,,
75,848,,,,,,,,,,,,,,,,
76,854,,,,,,,,,,,,,,,,
77,868,,,,,,,,,,,,,,,,
78,881,,,,,,,,,,,,,,,,
79,887,,,,,,,,,,,,,,,,
80,898,,,,,,,,,,,,,,,,
81,909,,,,,,,,,,,,,,,,
82,923,,,,,,,,,,,,,,,,
83,930,,,,,,,,,,,,,,,,
84,944,,,,,,,,,,,,,,,,
85,951,,,,,,,,,,,,,,,,
86,962,,,,,,,,,,,,,,,,
87,978,,,,,,,,,,,,,,,,
88,984,,,,,,,,,,,,,,,,
89,995,,,,,,,,,,,,,,,,
90,1007,,,,,,,,,,,,,,,,
91,1023,,,,,,,,,,,,,,,,
