frame_no,time (ms),pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink
12,166,462,462,0.316008,0.316008,0.05910919068789105,8.671500572682315e-15,-2.3465962671995895,-3.881197607970672e-13,780,750,0.53352,0.513,0.019186275227000105,0.026828412460320618,0.5411965351782166,-1.1846158831423137
13,193,462,462,0.316008,0.316008,0.012175952939877317,0.0,-0.8706141615083921,2.0551101102486894e-13,782,750,0.534888,0.513,0.01916574975675631,0.005322492694934017,-0.5260344601065556,-0.7766355666536671
14,203,462,462,0.316008,0.316008,0.006313464531921002,1.5069203934622943e-15,-0.7131570568078799,-3.6196798085162486e-13,782,750,0.534888,0.513,0.013823088125399976,-3.0138407869245886e-15,-0.8914919110017823,-1.806706592586933e-13
15,210,462,462,0.316008,0.316008,-2.914583645223153e-15,-2.914583645223153e-15,8.787569226978159e-14,8.787569226978159e-14,782,750,0.534888,0.513,0.013509163713906275,0.0,-0.7090642669255551,-1.63119020190939e-13
16,230,462,462,0.316008,0.316008,-1.496480345245499e-15,-1.496480345245499e-15,8.473168678370479e-14,8.473168678370479e-14,782,750,0.534888,0.513,-5.985921380981996e-15,-0.008004904875346249,1.6660032718776113e-13,-0.8504411070610784
17,237,462,462,0.316008,0.316008,2.940278983505474e-15,2.940278983505474e-15,8.926012779899091e-14,8.926012779899091e-14,782,750,0.534888,0.513,5.880557967010948e-15,-0.01195229245066732,-1.7313799365232656e-13,-1.1049894087408818
18,259,462,462,0.316008,0.316008,-1.4598091708734523e-15,-1.4598091708734523e-15,-5.76825723745295e-14,-5.76825723745295e-14,782,750,0.534888,0.513,-2.9196183417469047e-15,-0.0234500315896821,-1.2920824866262718e-14,-0.49958035233866155
19,276,462,462,0.316008,0.316008,0.0,0.0,2.3677991827158863e-13,2.3677991827158863e-13,782,748,0.534888,0.511632,2.9016143570610256e-15,-0.018680956310134788,1.2647751022359578e-13,0.36073004430273503
20,279,462,462,0.316008,0.316008,1.4940393244800405e-15,1.4940393244800405e-15,-9.288106953050288e-15,-9.288106953050288e-15,782,748,0.534888,0.511632,2.988078648960081e-15,-0.019047729095745074,-1.307918553045049e-13,0.6229385237377038
21,296,462,462,0.316008,0.316008,-1.6431977775883404e-15,-1.6431977775883404e-15,-4.0767749009033133e-13,-4.0767749009033133e-13,782,748,0.534888,0.511632,0.0,-0.013073281736614196,-5.540619637343997e-13,1.1567856879147596
22,315,462,462,0.316008,0.316008,0.0,0.0,-9.311532672524867e-14,-9.311532672524867e-14,782,748,0.534888,0.511632,-0.01936035757694273,0.01936035757694606,-1.2543232170665422,1.2543232170662697
23,321,462,462,0.316008,0.316008,0.0,0.0,1.3790115113930498e-13,1.3790115113930498e-13,782,748,0.534888,0.511632,-0.006716224968809581,0.02015464772577485,0.020750980001347084,0.9238871310115995
