frame_no,time (ms),pos_pixel_x-darkorange,pos_pixel_y-darkorange,r_x-darkorange,r_y-darkorange,v_x-darkorange,v_y-darkorange,a_x-darkorange,a_y-darkorange,pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink,pos_pixel_x-yellowneon,pos_pixel_y-yellowneon,r_x-yellowneon,r_y-yellowneon,v_x-yellowneon,v_y-yellowneon,a_x-yellowneon,a_y-yellowneon
336,1908,500,316,0.3465,0.218988,0.349523114,0.031362815,2.19666105,0.737921732,538,688,0.372834,0.476784,0.435174016,-0.146277766,1.221098248,-2.832110173,490,436,0.33957,0.302148,0,0,3.44E-14,8.23E-14,748,404,0.518364,0.279972,-0.000908879,0.000908879,-0.588328327,0.588328327
337,1913,506,318,0.350658,0.220374,0.353053552,0.042627763,1.52608498,1.069413205,544,688,0.376992,0.476784,0.443619266,-0.155799158,-0.671824064,1.919277519,490,436,0.33957,0.302148,2.03E-15,-2.03E-15,9.41E-13,6.67E-13,750,402,0.51975,0.278586,-0.00102392,0.00102392,-0.99251622,0.99251622
338,1921,512,318,0.354816,0.220374,0.350361836,0.052726595,-2.511028678,0.772087583,,,,,,,,,490,436,0.33957,0.302148,1.86E-15,-3.72E-15,-7.01E-13,-3.99E-13,748,404,0.518364,0.279972,-0.001752455,0.001752455,-0.408173613,0.408173613
339,1934,516,318,0.357588,0.220374,0.350415512,0.066608723,-5.000349143,1.441593207,556,682,0.385308,0.472626,0.376680153,-0.117635792,-6.097771873,1.865468629,490,436,0.33957,0.302148,1.84E-15,0,-7.34E-13,-7.07E-13,748,404,0.518364,0.279972,-0.011827229,0.011827229,0.504053916,-0.504053916
340,1944,522,320,0.361746,0.22176,0.302456936,0.073844931,-0.277514804,2.510976917,562,682,0.389466,0.472626,0.317225292,-0.112189399,-2.489914291,0.997225761,490,436,0.33957,0.302148,-5.16E-15,-1.72E-15,9.09E-13,7.01E-13,748,404,0.518364,0.279972,-0.015551292,0.015551292,1.227408725,-1.227408725
341,1964,528,322,0.365904,0.223146,0.300373768,0.113531729,1.123632129,1.767158137,566,680,0.392238,0.47124,0.276228486,-0.083102135,0.834360304,-0.714385638,490,436,0.33957,0.302148,0,-3.36E-15,-9.15E-14,-7.56E-14,748,404,0.518364,0.279972,-3.36E-15,-3.36E-15,-7.29E-14,-3.15E-13
342,1971,532,324,0.368676,0.224532,0.332355395,0.128904699,2.716302819,1.446182952,572,678,0.396396,0.469854,0.30932338,-0.092130599,2.820530114,-1.007910054,490,436,0.33957,0.302148,-1.87E-15,-1.87E-15,6.05E-13,2.85E-13,748,404,0.518364,0.279972,0,-1.87E-15,6.04E-13,3.59E-13
343,1982,538,326,0.372834,0.225918,0.319768321,0.146031437,1.272665287,2.023375081,576,676,0.399168,0.468468,0.301795,-0.100293284,1.835352122,-0.133860954,490,436,0.33957,0.302148,5.78E-15,3.85E-15,3.15E-13,-6.41E-14,748,404,0.518364,0.279972,7.70E-15,1.93E-15,-1.70E-13,-6.08E-14
344,1993,542,328,0.375606,0.227304,0.319747635,0.154749016,-4.029974371,-0.083070778,580,676,0.40194,0.468468,0.29740148,-0.103225734,-5.113095391,0.252328778,490,436,0.33957,0.302148,-3.96E-15,-1.98E-15,7.24E-14,1.66E-13,748,404,0.518364,0.279972,-5.06E-15,-5.06E-15,4.88E-14,1.35E-13
345,1999,548,330,0.379764,0.22869,0.305618984,0.159568645,-3.142121708,1.199570348,586,674,0.406098,0.467082,0.268834071,-0.091253607,-3.070623196,0.242018692,490,436,0.33957,0.302148,5.59E-15,5.59E-15,-1.36E-13,-1.30E-13,748,404,0.518364,0.279972,0,0,1.67E-12,5.48E-13
