frame_no,time (ms),pos_pixel_x-darkorange,pos_pixel_y-darkorange,r_x-darkorange,r_y-darkorange,v_x-darkorange,v_y-darkorange,a_x-darkorange,a_y-darkorange,pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink,pos_pixel_x-yellowneon,pos_pixel_y-yellowneon,r_x-yellowneon,r_y-yellowneon,v_x-yellowneon,v_y-yellowneon,a_x-yellowneon,a_y-yellowneon
185,1,674,562,0.467082,0.389466,0.005716037,-3.17E-15,1.255848981,6.24E-13,,,,,,,,,490,434,0.33957,0.300762,0,-1.59E-15,5.07E-13,3.97E-13,760,380,0.52668,0.26334,-3.17E-15,-0.002500312,7.98E-13,1.139759431
186,13,674,562,0.467082,0.389466,-0.000921242,-3.48E-15,-0.619095875,-9.13E-13,,,,,,,,,490,434,0.33957,0.300762,-1.74E-15,0,-7.20E-13,-5.22E-13,760,380,0.52668,0.26334,0,0,-8.37E-13,-4.18E-13
187,20,676,562,0.468468,0.389466,-0.004148864,0.01874043,-0.833890441,1.160333624,,,,,,,,,490,434,0.33957,0.300762,-5.80E-15,-1.93E-15,-1.79E-13,-2.99E-13,760,380,0.52668,0.26334,-7.74E-15,-3.87E-15,-2.50E-13,-1.25E-13
188,30,674,562,0.467082,0.389466,-0.005526527,0.025763661,-0.960249318,1.668578271,,,,,,,,,490,434,0.33957,0.300762,6.67E-15,6.67E-15,-6.78E-13,-6.83E-13,760,380,0.52668,0.26334,1.33E-14,6.67E-15,-2.30E-12,-1.15E-12
189,40,674,562,0.467082,0.389466,-0.021339377,0.028381113,-1.112731958,-0.079902516,,,,,,,,,490,434,0.33957,0.300762,-2.02E-15,-4.04E-15,-4.18E-13,-3.93E-13,760,380,0.52668,0.26334,-8.08E-15,-4.04E-15,-1.06E-13,-5.32E-14
190,48,674,564,0.467082,0.390852,-0.038054421,0.039038403,-0.023656075,0.349288356,,,,,,,,,490,434,0.33957,0.300762,-1.96E-15,0,4.74E-13,-1.39E-13,760,380,0.52668,0.26334,3.91E-15,1.96E-15,-6.23E-13,-3.12E-13
191,59,674,564,0.467082,0.390852,-0.026792463,0.044639728,-0.576842937,-0.277243364,,,,,,,,,490,434,0.33957,0.300762,-1.92E-15,0,2.72E-13,7.64E-14,760,380,0.52668,0.26334,-7.67E-15,-3.83E-15,6.15E-13,3.08E-13
192,77,672,564,0.465696,0.390852,-0.048091087,0.058320476,-0.995529318,0.855198741,,,,,,,,,490,434,0.33957,0.300762,-3.77E-15,0,-7.26E-14,2.05E-13,760,380,0.52668,0.26334,-3.77E-15,-1.89E-15,-1.24E-13,-6.22E-14
193,81,672,566,0.465696,0.392238,-0.047338437,0.066007572,-0.257507156,2.819845492,,,,,,,,,490,434,0.33957,0.300762,-1.97E-15,3.95E-15,-1.98E-14,3.69E-14,760,380,0.52668,0.26334,3.95E-15,0.015110193,2.28E-13,1.453400025
194,94,672,566,0.465696,0.392238,-0.054557496,0.068740735,-0.162952156,0.094848769,,,,,,,,,490,434,0.33957,0.300762,0,-1.89E-15,8.92E-13,6.77E-13,760,380,0.52668,0.26334,0,0.021401852,1.09E-12,0.853513465
195,102,670,568,0.46431,0.393624,-0.04859897,0.084135867,-0.235828879,-0.946365559,,,,,,,,,490,434,0.33957,0.300762,1.87E-15,-1.87E-15,-5.48E-14,2.57E-13,760,380,0.52668,0.26334,0,0.026523692,-5.36E-13,0.084668536
196,112,670,570,0.46431,0.39501,-0.049665184,0.068833492,0.679358204,-0.526209508,,,,,,,,,490,434,0.33957,0.300762,1.78E-15,1.78E-15,1.29E-13,-2.06E-13,760,382,0.52668,0.264726,3.56E-15,0.027382209,-7.74E-13,-0.53218937
197,131,668,570,0.462924,0.39501,-0.050660284,0.070469684,0.374967721,-0.49663777,,,,,,,,,490,434,0.33957,0.300762,0,0,1.85E-14,-3.11E-13,760,382,0.52668,0.264726,7.30E-15,0.013912475,2.43E-13,-1.506492188
198,140,668,572,0.462924,0.396396,-0.051208671,0.068328935,-0.635233008,0.603804957,,,,,,,,,490,434,0.33957,0.300762,-1.94E-15,0,-7.36E-13,-5.31E-13,760,382,0.52668,0.264726,-3.87E-15,0.004898789,-1.51E-12,-1.403507809
199,149,668,572,0.462924,0.396396,-0.062472338,0.072303151,-0.823329192,1.302041802,,,,,,,,,490,434,0.33957,0.300762,6.16E-15,2.05E-15,-5.35E-13,-1.06E-12,760,382,0.52668,0.264726,8.22E-15,2.05E-15,-9.89E-13,-4.69E-13
200,158,666,574,0.461538,0.397782,-0.055413429,0.074760774,-0.268036895,-1.351416302,,,,,,,,,490,434,0.33957,0.300762,0,2.15E-15,-9.29E-14,2.28E-13,760,382,0.52668,0.264726,0,4.31E-15,3.83E-13,-1.76E-14
201,164,666,574,0.461538,0.397782,-0.067161061,0.067161061,0.150620974,-0.150620974,,,,,,,,,490,434,0.33957,0.300762,-3.88E-15,-1.94E-15,-3.66E-14,-1.34E-13,760,382,0.52668,0.264726,0,-3.88E-15,-7.37E-14,-6.65E-14
202,178,664,576,0.460152,0.399168,-0.064582393,0.064582393,1.286691486,-1.286691486,,,,,,,,,490,434,0.33957,0.300762,0,0,-1.07E-13,-1.12E-13,760,382,0.52668,0.264726,6.46E-15,0,-4.50E-13,-1.89E-13
203,191,664,576,0.460152,0.399168,-0.050903863,0.050903863,0.304971459,-0.304971459,,,,,,,,,490,434,0.33957,0.300762,-2.99E-15,-4.48E-15,1.40E-15,6.46E-15,760,382,0.52668,0.264726,-2.99E-15,-2.99E-15,-2.74E-13,3.14E-14
204,203,662,578,0.458766,0.400554,-0.049273762,0.049273762,0.323651141,-0.323651141,,,,,,,,,490,434,0.33957,0.300762,-2.97E-15,-4.45E-15,3.10E-13,2.32E-13,760,382,0.52668,0.264726,-2.97E-15,-0.007701244,-2.82E-14,-0.795087921
205,228,662,578,0.458766,0.400554,-0.066071213,0.066071213,-1.122232787,1.122232787,,,,,,,,,490,434,0.33957,0.300762,-3.03E-15,-3.03E-15,2.84E-13,-8.32E-14,760,382,0.52668,0.264726,-3.03E-15,-0.034386179,-1.00E-13,-1.352564343
206,236,660,580,0.45738,0.40194,-0.05728624,0.05728624,-0.262864423,0.262864423,,,,,,,,,490,434,0.33957,0.300762,-6.71E-15,-5.03E-15,8.22E-15,5.63E-14,760,382,0.52668,0.264726,-6.71E-15,-0.006243362,3.08E-13,0.491640944
207,243,660,580,0.45738,0.40194,-0.044696275,0.044696275,0.099587116,-0.099587116,,,,,,,,,490,434,0.33957,0.300762,-1.81E-15,-1.81E-15,6.46E-14,-1.56E-13,760,380,0.52668,0.26334,-7.22E-15,-0.015386291,-4.97E-13,0.127117322
208,252,658,582,0.455994,0.403326,-0.063732919,0.063732919,1.31378333,-1.31378333,,,,,,,,,490,434,0.33957,0.300762,1.98E-15,3.97E-15,-5.17E-13,-4.00E-13,760,380,0.52668,0.26334,3.97E-15,-0.021048369,-2.07E-13,0.577348215
209,266,658,582,0.455994,0.403326,-0.046249508,0.060231424,-0.029190837,1.707860679,,,,,,,,,490,434,0.33957,0.300762,0,0,2.01E-13,5.46E-13,760,382,0.52668,0.264726,3.98E-15,-0.013002753,3.34E-13,-0.087937144
210,279,658,582,0.455994,0.403326,-0.06660151,0.103852784,-1.481102452,3.6345487,,,,,,,,,490,434,0.33957,0.300762,2.02E-15,0,-5.27E-13,-6.18E-13,760,380,0.52668,0.26334,0,-0.015283539,-6.62E-13,-1.575837389
211,288,656,584,0.454608,0.404712,-0.126185345,0.138043447,-5.874827347,5.410489397,,,,,,,,,490,434,0.33957,0.300762,-4.39E-15,-2.19E-15,-4.00E-13,-5.76E-13,760,380,0.52668,0.26334,-4.39E-15,-0.014368115,-2.79E-13,-0.560392944
212,295,656,586,0.454608,0.406098,-0.123309162,0.129305877,-2.652957295,0.799554326,,,,,,,,,490,434,0.33957,0.300762,0,0,1.94E-13,3.69E-13,760,380,0.52668,0.26334,-4.50E-15,-0.018967279,1.96E-13,1.59102783
