frame_no,time (ms),pos_pixel_x-darkorange,pos_pixel_y-darkorange,r_x-darkorange,r_y-darkorange,v_x-darkorange,v_y-darkorange,a_x-darkorange,a_y-darkorange,pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink,pos_pixel_x-lightorange,pos_pixel_y-lightorange,r_x-lightorange,r_y-lightorange,v_x-lightorange,v_y-lightorange,a_x-lightorange,a_y-lightorange,pos_pixel_x-yellowneon,pos_pixel_y-yellowneon,r_x-yellowneon,r_y-yellowneon,v_x-yellowneon,v_y-yellowneon,a_x-yellowneon,a_y-yellowneon
94,1,404,342,0.279972,0.237006,0.00874773,-0.028208296,1.732385493,-3.186564929,,,,,,,,,492,436,0.340956,0.302148,-0.029090502,4.14E-15,-0.324820312,-6.51E-13,,,,,,,,,,,,,,,,
95,14,404,342,0.279972,0.237006,0.026607644,-0.056797122,1.947628772,-2.68633831,,,,,,,,,490,436,0.33957,0.302148,-0.029054563,2.06E-15,0.856998067,-8.95E-14,,,,,,,,,,,,,,,,
96,23,404,340,0.279972,0.23562,0.037197801,-0.064363143,1.490714601,-0.865551815,,,,,,,,,490,436,0.33957,0.302148,-0.02475451,3.73E-15,1.257156147,-2.70E-13,,,,,,,,,,,,,,,,
97,35,406,338,0.281358,0.234234,0.046695486,-0.069323824,0.53732532,0.688205166,,,,,,,,,490,436,0.33957,0.302148,-0.014850104,-1.81E-15,1.262590492,-1.97E-13,,,,,,,,,,,,,,,,
98,42,406,338,0.281358,0.234234,0.059974833,-0.079547343,0.356299712,1.162036669,,,,,,,,,490,436,0.33957,0.302148,0,3.65E-15,2.24E-13,-1.32E-13,,,,,,,,,,,,,,,,
99,61,408,336,0.282744,0.232848,0.082826458,-0.061302232,1.263070537,0.291869836,,,,,,,,,490,436,0.33957,0.302148,7.46E-15,3.73E-15,4.66E-13,4.28E-13,,,,,,,,,,,,,,,,
100,71,408,336,0.282744,0.232848,0.073869547,-0.066621621,0.589455124,-0.729495542,,,,,,,,,490,436,0.33957,0.302148,3.78E-15,3.78E-15,2.17E-13,-5.32E-13,,,,,,,,,,,,,,,,
101,78,410,334,0.28413,0.231462,0.081003607,-0.07808253,0.297350527,-0.941516991,,,,,,,,,490,436,0.33957,0.302148,0,-1.92E-15,-9.74E-14,-7.28E-14,,,,,,,,,,,,,,,,
102,87,412,334,0.285516,0.231462,0.087549863,-0.076345102,0.134185761,0.270446928,,,,,,,,,490,436,0.33957,0.302148,-3.91E-15,-1.95E-15,3.08E-13,4.42E-13,,,,,,,,,,,,,,,,
103,101,412,332,0.285516,0.230076,0.085725692,-0.080727535,-1.205047043,0.554382811,,,,,,,,,490,436,0.33957,0.302148,1.89E-15,1.89E-15,-1.67E-14,-1.69E-13,,,,,,,,,,,,,,,,
104,111,414,330,0.286902,0.22869,0.077321101,-0.069349269,0.198387904,0.515274425,,,,,,,,,490,436,0.33957,0.302148,-1.83E-15,-3.65E-15,5.71E-14,5.02E-13,,,,,,,,,,,,,,,,
105,125,416,330,0.288288,0.22869,0.087415919,-0.072748893,1.257562215,0.449572464,,,,,,,,,490,436,0.33957,0.302148,1.85E-15,3.69E-15,-6.18E-13,-1.60E-13,,,,,,,,,,,,,,,,
106,135,416,328,0.288288,0.227304,0.100522424,-0.062447475,0.717943621,0.382863874,,,,,,,,,490,436,0.33957,0.302148,5.75E-15,5.75E-15,2.82E-13,-2.53E-13,,,,,,,,,,,,,,,,
107,145,418,328,0.289674,0.227304,0.094405031,-0.065873771,0.490897752,-0.835268212,,,,,,,,,490,436,0.33957,0.302148,1.98E-15,0,-3.54E-13,-4.07E-13,,,,,,,,,,,,,,,,
108,155,420,326,0.29106,0.225918,0.089999923,-0.065025492,-1.035099196,1.225759882,,,,,,,,,490,436,0.33957,0.302148,-7.05E-15,-1.76E-15,4.66E-13,1.69E-13,,,,,,,,,,,,,,,,
109,167,422,326,0.292446,0.225918,0.092075354,-0.048448663,-1.290141842,1.207710253,,,,,,,,,490,436,0.33957,0.302148,-1.63E-15,-1.63E-15,-9.07E-14,-5.93E-14,,,,,,,,,,,,,,,,
110,175,422,324,0.292446,0.224532,0.081242277,-0.049015269,0.116741663,0.735539724,,,,,,,,,490,436,0.33957,0.302148,1.55E-15,0,4.13E-13,2.63E-13,,,,,,,,,,,,,,,,
111,200,424,324,0.293832,0.224532,0.106805151,-0.062374033,2.072520043,-1.612755443,,,,,,,,,490,436,0.33957,0.302148,-1.59E-15,-4.77E-15,2.96E-13,1.31E-13,,,,,,,,,,,,,,,,
112,210,426,324,0.295218,0.224532,0.169007393,-0.077972893,5.135524676,-2.048588741,,,,,,,,,490,436,0.33957,0.302148,-3.49E-15,3.49E-15,-6.71E-13,-2.69E-13,,,,,,,,,,,,,,,,
113,219,428,322,0.296604,0.223146,0.156439645,-0.07467298,2.253525617,-1.795260585,,,,,,,,,490,436,0.33957,0.302148,0,1.85E-15,-6.18E-13,-5.03E-13,,,,,,,,,,,,,,,,
