frame_no,time (ms),pos_pixel_x-darkorange,pos_pixel_y-darkorange,r_x-darkorange,r_y-darkorange,v_x-darkorange,v_y-darkorange,a_x-darkorange,a_y-darkorange,pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink,pos_pixel_x-lightorange,pos_pixel_y-lightorange,r_x-lightorange,r_y-lightorange,v_x-lightorange,v_y-lightorange,a_x-lightorange,a_y-lightorange,pos_pixel_x-yellowneon,pos_pixel_y-yellowneon,r_x-yellowneon,r_y-yellowneon,v_x-yellowneon,v_y-yellowneon,a_x-yellowneon,a_y-yellowneon
69,1,676,560,0.468468,0.38808,-0.006715269,0.036408011,-1.148404148,-0.818672847,714,874,0.494802,0.605682,6.22E-15,0.006715269,-1.19E-13,1.148404148,490,434,0.33957,0.300762,1.24E-14,1.04E-14,-3.01E-13,-5.89E-13,,,,,,,,,760,382,0.52668,0.264726,0.006824239,0.036516981,0.158314346,-1.808762649
70,7,676,560,0.468468,0.38808,-0.006580054,0.006580054,-1.576894566,1.576894566,714,874,0.494802,0.605682,-9.49E-15,0.006580054,-1.97E-13,1.576894566,490,434,0.33957,0.300762,-1.14E-14,-7.59E-15,-1.36E-13,-4.54E-13,,,,,,,,,760,382,0.52668,0.264726,0.038025587,0.038025587,-2.233961729,-2.233961729
71,31,676,560,0.468468,0.38808,-0.02959643,0.053436392,-0.492086612,2.476065651,714,874,0.494802,0.605682,-7.48E-15,0.02959643,-5.00E-13,0.492086612,490,434,0.33957,0.300762,-7.48E-15,-3.74E-15,1.27E-13,-1.47E-13,,,,,,,,,760,382,0.52668,0.264726,-1.12E-14,-1.87E-15,-2.30E-13,4.04E-14
72,36,674,562,0.467082,0.389466,-0.027904255,0.061569107,-0.082060749,2.265786963,714,876,0.494802,0.607068,3.91E-15,0.027904255,8.22E-13,0.082060749,490,434,0.33957,0.300762,0,1.95E-15,8.00E-13,3.44E-13,,,,,,,,,760,382,0.52668,0.264726,3.91E-15,0,1.26E-12,3.63E-13
73,47,674,562,0.467082,0.389466,-0.019965117,0.05345604,0.626216882,0.332778034,714,876,0.494802,0.607068,0,0.019965117,-9.69E-13,-0.626216882,490,434,0.33957,0.300762,0,-2.04E-15,-4.98E-13,-1.63E-13,,,,,,,,,760,382,0.52668,0.264726,-8.14E-15,-2.04E-15,-9.09E-13,-5.17E-13
74,57,674,564,0.467082,0.390852,-0.033860205,0.067176919,-0.017622599,-1.128023994,714,876,0.494802,0.607068,0,0.012427797,5.21E-13,-2.164930461,490,434,0.33957,0.300762,0,0,3.93E-13,-4.46E-13,,,,,,,,,760,382,0.52668,0.264726,0,0,7.22E-13,2.46E-13
75,60,674,564,0.467082,0.390852,-0.020038617,0.054887508,-1.32093805,-0.424217012,714,876,0.494802,0.607068,0.008633283,-1.79E-14,1.831674768,2.16E-12,490,434,0.33957,0.300762,-8.94E-15,-6.71E-15,1.09E-12,8.86E-13,,,,,,,,,760,382,0.52668,0.264726,0,-4.47E-15,9.11E-13,3.35E-13
76,74,674,564,0.467082,0.390852,-0.030114275,0.061211211,-0.092605267,0.013752222,714,876,0.494802,0.607068,0.024210039,-8.71E-15,1.509999201,1.93E-12,490,434,0.33957,0.300762,-2.18E-15,-4.35E-15,2.54E-13,1.83E-13,,,,,,,,,760,382,0.52668,0.264726,-4.35E-15,-4.35E-15,1.35E-12,6.75E-13
77,79,672,566,0.465696,0.392238,-0.035092082,0.050529494,0.999853364,-0.398895426,714,876,0.494802,0.607068,0.027814648,3.48E-15,-1.489660222,3.37E-13,490,434,0.33957,0.300762,5.22E-15,0,-1.14E-14,3.72E-13,,,,,,,,,760,382,0.52668,0.264726,1.74E-15,-3.48E-15,2.06E-13,1.06E-13
78,94,672,566,0.465696,0.392238,-0.030423991,0.053214116,0.257628035,-0.011934508,716,876,0.496188,0.607068,0.009720348,-3.31E-15,-1.837330013,-1.39E-13,490,434,0.33957,0.300762,-1.65E-15,1.65E-15,-2.40E-13,-3.08E-13,,,,,,,,,760,382,0.52668,0.264726,0,-1.65E-15,-3.44E-13,3.04E-14
79,105,672,568,0.465696,0.393624,-0.030419927,0.056491449,-0.234552045,-0.301192239,716,876,0.496188,0.607068,-0.001984184,3.49E-15,-2.989408127,3.47E-13,490,434,0.33957,0.300762,1.74E-15,0,4.09E-13,6.37E-13,,,,,,,,,760,382,0.52668,0.264726,0,-1.74E-15,6.55E-14,5.11E-13
80,127,672,568,0.465696,0.393624,-0.070224897,0.079552178,-2.538504446,1.582146788,714,876,0.494802,0.607068,-0.036497117,5.01E-15,-1.663957582,-6.60E-13,490,434,0.33957,0.300762,-5.01E-15,-2.51E-15,-6.87E-13,-4.05E-13,,,,,,,,,760,382,0.52668,0.264726,5.01E-15,-5.85E-15,-5.45E-13,-4.64E-13
81,133,670,570,0.46431,0.39501,-0.12425448,0.100353648,-5.426016839,2.386502475,714,876,0.494802,0.607068,-0.017173249,-1.20E-14,1.135926219,3.34E-13,490,434,0.33957,0.300762,-6.00E-15,-4.00E-15,3.03E-13,4.22E-13,,,,,,,,,760,382,0.52668,0.264726,-4.00E-15,-5.00E-15,7.45E-13,2.55E-13
82,137,670,570,0.46431,0.39501,-0.140418033,0.128577878,-5.930648046,5.529568812,714,876,0.494802,0.607068,-0.01607002,-0.01894623,1.718125431,-1.53071235,490,434,0.33957,0.300762,-2.33E-15,-2.33E-15,-2.31E-13,-3.41E-13,,,,,,,,,760,382,0.52668,0.264726,-4.65E-15,-2.33E-15,-3.93E-13,-8.83E-14
