frame_no,time (ms),pos_pixel_x-darkorange,pos_pixel_y-darkorange,r_x-darkorange,r_y-darkorange,v_x-darkorange,v_y-darkorange,a_x-darkorange,a_y-darkorange,pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink,pos_pixel_x-yellowneon,pos_pixel_y-yellowneon,r_x-yellowneon,r_y-yellowneon,v_x-yellowneon,v_y-yellowneon,a_x-yellowneon,a_y-yellowneon
0,0,,,,,,,,,712,666,0.493416,0.461538,,,,,,,,,,,,,,,,,,,,
1,15,,,,,,,,,714,668,0.494802,0.462924,,,,,,,,,,,,,,,,,,,,
2,25,,,,,,,,,718,668,0.497574,0.462924,,,,,,,,,,,,,,,,,,,,
3,51,,,,,,,,,720,670,0.49896,0.46431,,,,,,,,,,,,,,,,,,,,
4,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,129,,,,,,,,,748,684,0.518364,0.47401200000000004,,,,,,,,,,,,,,,,,,,,
10,139,,,,,,,,,,,,,,,,,,,,,,,,,760,380,0.52668,0.26334,,,,
11,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,164,310,562,0.21483000000000002,0.38946600000000003,,,,,764,690,0.529452,0.47817000000000004,,,,,490,434,0.33957000000000004,0.30076200000000003,,,,,760,382,0.52668,0.264726,-2.0008078625035833e-15,0.029578565641626163,6.602935870701031e-13,-1.4567245274294132
13,177,296,542,0.205128,0.375606,,,,,,,,,,,,,490,434,0.33957000000000004,0.30076200000000003,-1.9502749419467007e-14,-1.706490574203363e-14,-8.598200255742766e-13,-1.8000223523962578e-13,760,382,0.52668,0.264726,-3.743624733395331e-15,-0.0005219427703845272,5.40144527400425e-13,-2.3197785517437928
14,193,,,,,,,,,792,698,0.548856,0.48371400000000003,0.1934841519086645,0.05276653203134136,-25.115003399668627,-8.457633617132291,490,434,0.33957000000000004,0.30076200000000003,0.0,0.0,4.906109025233575e-13,5.755624717876414e-13,760,382,0.52668,0.264726,0.0,-0.024010200323682764,1.3669710794254878e-12,-1.2133456164855398
15,202,,,,,,,,,788,698,0.546084,0.48371400000000003,0.016472550080464193,-0.01274408462197557,-21.865770019176818,-7.754538226257677,490,434,0.33957000000000004,0.30076200000000003,1.827914602195363e-15,-1.827914602195363e-15,5.235741422953499e-13,3.4910783278582274e-13,760,382,0.52668,0.264726,3.655829204390726e-15,-0.026837449746239667,8.838947105854915e-13,-0.6450577330852416
16,209,,,,,,,,,784,696,0.543312,0.48232800000000003,-0.2756602593986633,-0.09317276783884236,-1.3110744956284104,-4.15965658634571,490,434,0.33957000000000004,0.30076200000000003,0.0,2.0263053255891857e-15,2.4311334105563815e-13,-1.9568241731237296e-13,760,380,0.52668,0.26334,0.0,-0.02841760327825563,5.031241218899689e-13,0.07105953540365616
17,225,,,,,,,,,780,694,0.54054,0.48094200000000004,-0.24332791707693335,-0.11392221180347298,3.928843992809093,0.3426297598249908,490,434,0.33957000000000004,0.30076200000000003,4.996815659342152e-15,1.6656052197807173e-15,-2.5705955668783917e-13,-8.929561824560861e-14,760,380,0.52668,0.26334,3.3312104395614346e-15,-0.025260430746139036,-3.298091536054079e-13,1.0114957803156406
18,233,,,,,,,,,776,692,0.537768,0.47955600000000004,-0.2231039116125438,-0.12372317799356654,3.0764595174886296,0.77625660021929,490,434,0.33957000000000004,0.30076200000000003,0.0,-1.469495456372572e-15,-6.441411497608596e-14,8.463312962988924e-14,760,380,0.52668,0.26334,-5.877981825490288e-15,-0.0182402753440008,1.718818718762448e-13,0.8953942002957549
19,238,,,,,,,,,772,690,0.534996,0.47817000000000004,-0.2027249441375853,-0.11666539606101957,1.0884315091488315,-0.7611760920538754,490,434,0.33957000000000004,0.30076200000000003,5.438416007630672e-15,5.438416007630672e-15,-5.129222594680044e-13,-2.731244054488345e-13,760,380,0.52668,0.26334,5.438416007630672e-15,2.719208003815336e-15,-4.830359580067101e-13,-2.4151797900335505e-13
20,274,710,482,0.49203,0.33402600000000005,,,,,768,686,0.532224,0.47539800000000004,-0.2535511622331324,-0.19129006939278187,-3.5745824072006185,-3.36112044987251,490,434,0.33957000000000004,0.30076200000000003,-2.8639594293149723e-15,-6.443908715958688e-15,-1.0204950962089473e-13,-3.63992314061332e-13,760,380,0.52668,0.26334,-1.5751776861232347e-14,-7.875888430616173e-15,-7.179973671628393e-13,-3.5899868358141964e-13
21,282,,,,,,,,,764,684,0.529452,0.47401200000000004,-0.3675490347385709,-0.26205768923665534,-8.870519284174547,-6.082142609651172,490,434,0.33957000000000004,0.30076200000000003,9.24205831007871e-15,5.3912006808792474e-15,1.6829269458414556e-13,1.738655517547971e-13,760,380,0.52668,0.26334,0.0,0.0,-1.5992362973168675e-13,-7.996181486584338e-14
