frame_no,time (ms),pos_pixel_x-darkorange,pos_pixel_y-darkorange,r_x-darkorange,r_y-darkorange,v_x-darkorange,v_y-darkorange,a_x-darkorange,a_y-darkorange,pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink,pos_pixel_x-lightorange,pos_pixel_y-lightorange,r_x-lightorange,r_y-lightorange,v_x-lightorange,v_y-lightorange,a_x-lightorange,a_y-lightorange,pos_pixel_x-yellowneon,pos_pixel_y-yellowneon,r_x-yellowneon,r_y-yellowneon,v_x-yellowneon,v_y-yellowneon,a_x-yellowneon,a_y-yellowneon
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,118,,,,,,,,,,,,,,,,,,,,,,,,,388,508,0.268884,0.352044,,,,,760,382,0.52668,0.264726,,,,
10,130,,,,,,,,,,,,,,,,,,,,,,,,,382,500,0.264726,0.34650000000000003,,,,,760,382,0.52668,0.264726,-8.906758132367848e-15,0.01183676461659454,-2.3247475000110616e-13,-2.534391288209131
11,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,382,0.52668,0.264726,8.644711935665948e-15,-0.010353484331960294,2.3555904987212463e-13,-0.16843299424913805
12,157,372,480,0.257796,0.33264000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,382,0.52668,0.264726,-1.0988358207906079e-14,-0.0024182744130676038,-1.613610126977901e-13,0.5471739808692249
13,168,370,468,0.25641,0.324324,1.6061622289837916,-4.787431450746219,-56.02612243176144,169.55947596976142,,,,,,,,,,,,,,,,,,,,,,,,,760,380,0.52668,0.26334,3.590717874996934e-15,0.0004064256109290689,-7.892580597384466e-13,0.7034221746128325
14,175,426,324,0.29521800000000004,0.224532,1.206494077646542,-3.5759638101645463,-48.918308837760165,146.24628091683974,,,,,,,,,490,436,0.33957000000000004,0.302148,,,,,,,,,,,,,760,382,0.52668,0.264726,0.0,0.0007131011431375718,3.6369465772334716e-13,0.6524551340034266
15,185,424,322,0.29383200000000004,0.223146,0.7527819616909404,-2.2219397275770643,-39.718660359500305,118.12192745660666,,,,,,,,,490,434,0.33957000000000004,0.30076200000000003,5.2966340978039496e-15,-0.05918079829091343,-2.0285567623077226e-13,2.730130100006319,,,,,,,,,760,382,0.52668,0.264726,-7.186135335438933e-15,0.007837737379129215,1.0443656462855277e-12,0.040814885243914543
16,204,424,322,0.29383200000000004,0.223146,0.25978924446245893,-0.7191419450610855,-24.686540974105636,68.94943370086848,,,,,,,,,490,434,0.33957000000000004,0.30076200000000003,-4.032511615138224e-15,-0.01860597945365756,8.986603880557668e-14,1.2171517847850568,,,,,,,,,760,382,0.52668,0.264726,3.375177361544699e-15,0.00992942945195652,2.4586601968263636e-13,-0.9238983563599115
17,214,424,322,0.29383200000000004,0.223146,-0.012837383621641142,0.0023807188697216736,0.6384253385402459,1.1431348725901425,,,,,,,,,490,434,0.33957000000000004,0.30076200000000003,2.8974118037100096e-15,-0.0048339505537806065,-3.295160110925192e-14,1.3618135612398403,,,,,,,,,760,382,0.52668,0.264726,5.794823607420019e-15,1.4487059018550048e-15,-2.2298494981164422e-14,-1.1661608976425453e-14
18,223,424,322,0.29383200000000004,0.223146,2.8329391267357172e-15,0.018789360542879975,-1.696580399889604e-14,-0.12448278991585525,,,,,,,,,490,434,0.33957000000000004,0.30076200000000003,0.0013445892280880294,0.01063618508990681,0.4542622672823042,0.23193209195389616,,,,,,,,,760,382,0.52668,0.264726,-1.133175650694287e-15,2.266351301388574e-15,2.290687103631323e-13,7.414678415134034e-14
19,241,424,324,0.29383200000000004,0.224532,1.0916589192534119e-15,0.02378813017503382,-2.5227705765379526e-14,-0.5582534143945181,,,,,,,,,490,434,0.33957000000000004,0.30076200000000003,0.00579687136766413,0.0169649099371576,0.5898322440080631,-0.01576507194547612,,,,,,,,,760,382,0.52668,0.264726,0.0,2.1833178385068237e-15,-2.2003749900789135e-13,-1.6643050775522617e-13
20,265,424,324,0.29383200000000004,0.224532,1.0532553068627102e-15,0.013794910533364527,1.4043685287428204e-13,-0.5905069393464119,,,,,,,,,490,436,0.33957000000000004,0.302148,0.015034162248765581,0.01624897692438927,0.24549419972432251,-0.29365108995260397,,,,,,,,,760,382,0.52668,0.264726,2.1065106137254204e-15,0.0,-1.3980380241599196e-13,-2.1641963133612236e-14
21,298,424,324,0.29383200000000004,0.224532,5.039808484456836e-15,-0.00068769719330261,1.6872073074964358e-13,-0.4557495582699927,,,,,,,,,492,436,0.34095600000000004,0.302148,0.015415218014243162,0.0054974737120491385,-0.02600050628518533,-0.42215729436647703,,,,,,,,,760,382,0.52668,0.264726,7.0557318782395705e-15,3.0238850906741018e-15,2.6721680233266293e-13,1.1667108513090395e-13
22,305,424,324,0.29383200000000004,0.224532,-0.012704096736932229,1.1925478987597568e-15,-0.4974884237533105,3.1201432387687096e-14,,,,,,,,,492,436,0.34095600000000004,0.302148,-0.0009241195520048247,0.003707210099815761,-0.8425020979751584,-0.5269237204626066,,,,,,,,,760,382,0.52668,0.264726,-2.3850957975195137e-15,1.1925478987597568e-15,-4.5407456952325526e-13,-1.5560192264572603e-13
23,324,424,324,0.29383200000000004,0.224532,-0.027959461345705188,0.017538202493539844,-0.8993846921555272,0.6383275112148491,,,,,,,,,492,436,0.34095600000000004,0.302148,-0.026141545403046265,7.234911386640647e-15,-1.68387997380214,1.1901710368585112e-13,,,,,,,,,760,382,0.52668,0.264726,7.234911386640647e-15,4.3409468319843885e-15,2.9822502925260877e-13,3.379579113382806e-14
24,336,424,324,0.29383200000000004,0.224532,-0.039393617453688,0.038347381171617234,-1.500030975607858,2.0812639085082973,,,,,,,,,492,436,0.34095600000000004,0.302148,-0.039393617453688,1.912472853830989e-15,-1.500030975608266,1.4892164894309434e-13,,,,,,,,,760,382,0.52668,0.264726,0.0,-1.912472853830989e-15,-6.11226242632091e-14,2.1889617495701984e-14
25,345,422,324,0.29244600000000004,0.224532,-0.047732604300852174,0.02887818135011519,-1.2074075406769715,0.6100741260855727,,,,,,,,,490,436,0.33957000000000004,0.302148,-0.026264610007507065,-5.851389114294502e-15,0.08771657424635596,-2.5735906642346107e-13,,,,,,,,,760,382,0.52668,0.264726,-7.80185215239267e-15,-3.900926076196335e-15,-1.152964780162177e-13,-7.429564936332279e-15
26,352,422,326,0.29244600000000004,0.225918,-0.05332980239584842,0.031190087088760393,-0.09420533582064121,-0.6991977369633886,,,,,,,,,490,436,0.33957000000000004,0.302148,-0.028371029516957136,-2.222669831529484e-15,1.7324680289572347,-3.0862260598482014e-14,,,,,,,,,760,382,0.52668,0.264726,-4.445339663058968e-15,-4.445339663058968e-15,7.12672397987834e-14,2.4117590851043985e-13
27,358,422,326,0.29244600000000004,0.225918,-0.05771187398255471,0.03703187438488777,1.3525399388141335,-2.6526257824058797,,,,,,,,,490,436,0.33957000000000004,0.302148,-0.027104234161235304,0.0,2.9028746274509443,4.2241084566230006e-14,,,,,,,,,760,382,0.52668,0.264726,0.0,0.0,8.170725892636836e-14,-1.0769481157630318e-13
28,375,420,326,0.29106000000000004,0.225918,-0.029576823344950088,0.012598154549502655,1.2210143866953698,-1.3150854336701563,,,,,,,,,490,436,0.33957000000000004,0.302148,4.185053612483988e-15,4.185053612483988e-15,-1.0812331275950263e-12,-7.521860165622278e-13,,,,,,,,,760,382,0.52668,0.264726,8.370107224967976e-15,4.185053612483988e-15,-1.7316782329829686e-12,-7.64794070201054e-13
29,381,420,326,0.29106000000000004,0.225918,-0.026595288363523817,-4.048566801192881e-15,1.8141976930764192,-9.974850212513984e-14,,,,,,,,,490,436,0.33957000000000004,0.302148,-2.0242834005964404e-15,-2.0242834005964404e-15,-4.483937842889663e-13,-6.84945548774647e-13,,,,,,,,,760,382,0.52668,0.264726,-8.097133602385762e-15,-4.048566801192881e-15,-5.529574944905812e-13,-3.102328501364444e-13
30,385,420,326,0.29106000000000004,0.225918,-0.025088636272704568,-9.64718581929162e-16,1.767716905141928,2.367592807455958e-13,,,,,,,,,490,436,0.33957000000000004,0.302148,-1.929437163858324e-15,1.929437163858324e-15,6.431922690796299e-13,6.70974473773995e-14,,,,,,,,,760,382,0.52668,0.264726,-7.717748655433296e-15,0.0,1.2769152780916044e-12,5.453361222334389e-13
31,406,420,326,0.29106000000000004,0.225918,8.012344526598182e-15,4.006172263299091e-15,-2.429486635882135e-13,-1.0709515327603827e-13,,,,,,,,,490,436,0.33957000000000004,0.302148,6.009258394948637e-15,6.009258394948637e-15,-4.632044490148199e-13,-2.7729507528347655e-13,,,,,,,,,760,382,0.52668,0.264726,1.6024689053196364e-14,6.009258394948637e-15,-4.848819142879334e-13,-9.252312863106602e-14
32,412,420,326,0.29106000000000004,0.225918,1.8351420519515836e-15,1.8351420519515836e-15,-3.1294158364426826e-13,-1.0604793729858741e-13,,,,,,,,,490,436,0.33957000000000004,0.302148,1.8351420519515836e-15,1.8351420519515836e-15,3.350965491867188e-13,1.3189757087801998e-13,,,,,,,,,760,382,0.52668,0.264726,3.670284103903167e-15,-0.012029725754941918,-2.756904328249636e-13,-1.2662643370624136
33,421,420,326,0.29106000000000004,0.225918,-0.009692474404076128,-1.7223631126204479e-15,-0.9324662765636348,4.4876119859302746e-13,,,,,,,,,490,436,0.33957000000000004,0.302148,-5.167089337861344e-15,-0.009692474404074405,6.737260726813232e-13,-0.932466276563345,,,,,,,,,760,382,0.52668,0.264726,-3.4447262252408958e-15,-0.018021489918848357,8.836098358687144e-13,-0.9780182356028125
34,434,420,326,0.29106000000000004,0.225918,-0.016118750397704003,0.006731784929762763,-1.3133318501510474,1.4053183242526337,,,,,,,,,490,436,0.33957000000000004,0.302148,-7.171129032796742e-15,-0.00938696546793586,5.136858329414456e-13,0.09198647410179504,,,,,,,,,760,382,0.52668,0.264726,-7.171129032796742e-15,-0.01868477613085487,3.948453652487056e-14,1.1475476051879638
35,449,420,326,0.29106000000000004,0.225918,-0.028798806020600125,0.026368817688185296,-0.8905374690873145,1.6149370215153573,,,,,,,,,490,436,0.33957000000000004,0.302148,-1.779605806155608e-15,-0.00242998833241483,-4.594271843399265e-13,0.7243995524285772,,,,,,,,,760,380,0.52668,0.26334,-3.559211612311216e-15,0.0015245975642585387,-2.922249716342291e-13,2.003192847859665
36,461,418,326,0.28967400000000004,0.225918,-0.028999013209749836,0.036492986754137216,-0.14736393825229718,1.3199231936342601,,,,,,,,,490,434,0.33957000000000004,0.30076200000000003,0.022255134939711103,0.007493973544386432,1.3866156179217777,1.172559255381805,,,,,,,,,760,380,0.52668,0.26334,-7.550834303019403e-15,0.020824312209449407,4.707544059562674e-13,2.4585072192197255
37,472,418,328,0.28967400000000004,0.227304,-0.019244065076031186,0.026709429802566027,1.0518146251916043,-0.251032989257307,,,,,,,,,490,436,0.33957000000000004,0.302148,0.02818865900649138,0.007465364726532859,1.1997074185127266,0.8007816359343038,,,,,,,,,760,382,0.52668,0.264726,-7.92511179179833e-15,0.01750250745444357,2.4217250243478705e-13,1.0322394400690027
38,478,418,328,0.28967400000000004,0.227304,-0.018151751368163892,0.02752318693744592,1.7357313590123218,-1.6055771386394009,,,,,,,,,490,436,0.33957000000000004,0.302148,0.02893267281471269,0.009371435569279869,0.6239458356077946,0.13015422037297472,,,,,,,,,760,382,0.52668,0.264726,0.0,0.02752318693744592,2.6028341654250024e-13,-1.605577138639231
39,485,418,328,0.28967400000000004,0.227304,-4.2458198208496806e-15,0.025479335373539743,-7.498167390616021e-13,-1.981812498613769,,,,,,,,,492,436,0.34095600000000004,0.302148,0.034771071654751684,0.025479335373535496,-0.9121164450980268,-1.9818124986139005,,,,,,,,,760,382,0.52668,0.264726,0.0,0.025479335373535496,-1.2079105467563467e-12,-1.9818124986142163
40,501,418,328,0.28967400000000004,0.227304,-1.9552969068202443e-15,1.9552969068202443e-15,-7.214769044207229e-13,-1.7934935914012445e-13,,,,,,,,,492,436,0.34095600000000004,0.302148,0.02436249518515296,-1.9552969068202443e-15,-1.5589300207308252,-3.069099637479479e-13,,,,,,,,,760,382,0.52668,0.264726,3.9105938136404886e-15,0.0,-7.60247727461051e-13,-5.724732153628816e-13
41,508,418,328,0.28967400000000004,0.227304,1.7066222376997553e-15,0.0,-2.0615163068290457e-13,-6.327209412555108e-14,,,,,,,,,492,436,0.34095600000000004,0.302148,0.01685662932995344,1.7066222376997553e-15,-0.9698286076261159,-2.570161463160051e-13,,,,,,,,,760,382,0.52668,0.264726,6.826488950799021e-15,5.119866713099266e-15,-3.2577711027315345e-13,-1.8251612793404363e-13
42,519,418,328,0.28967400000000004,0.227304,3.363540121883117e-15,0.007888589871487493,2.4550811335113807e-14,0.9110270643221446,,,,,,,,,492,436,0.34095600000000004,0.302148,3.363540121883117e-15,3.363540121883117e-15,7.507171818521238e-14,-1.0474984206336291e-13,,,,,,,,,760,382,0.52668,0.264726,3.363540121883117e-15,0.0,5.280555849120002e-13,-4.604234776590227e-14
43,536,418,328,0.28967400000000004,0.227304,-3.5720840290564375e-15,0.024425584968773815,3.401481764292583e-13,1.561185550610222,,,,,,,,,492,436,0.34095600000000004,0.302148,-5.358126043584656e-15,-3.5720840290564375e-15,1.5671541497161336e-13,3.1114524163692035e-13,,,,,,,,,760,382,0.52668,0.264726,-7.144168058112875e-15,-3.5720840290564375e-15,3.1882890596931466e-14,1.7076956826630863e-13
44,551,418,328,0.28967400000000004,0.227304,-0.026692229788148312,0.04403479972281206,-1.3437691594493348,1.5484876729167265,,,,,,,,,492,436,0.34095600000000004,0.302148,3.6588058604987935e-15,4.573507325623492e-15,-1.891882838494892e-13,7.621806398847086e-14,,,,,,,,,760,382,0.52668,0.264726,1.4635223441995174e-14,6.4029102558728885e-15,2.7299640421622636e-14,1.649707443376187e-13
45,557,418,330,0.28967400000000004,0.22869,-0.040671034264455896,0.03693811905375093,-2.052386012049779,0.6718340051945413,,,,,,,,,492,436,0.34095600000000004,0.302148,2.2002955993011776e-15,-2.2002955993011776e-15,4.0260175447252667e-13,8.790886116370443e-13,,,,,,,,,760,382,0.52668,0.264726,4.400591198602355e-15,-1.1001477996505888e-15,7.260036180263858e-13,4.2081160821164506e-13
46,566,418,330,0.28967400000000004,0.22869,-0.04857830184650807,0.02536334625395883,-1.9124737912166583,-1.4325958042079363,,,,,,,,,492,436,0.34095600000000004,0.302148,-5.508248727768381e-15,-8.262373091652572e-15,-3.7427838658138925e-13,-2.408737240945811e-13,,,,,,,,,760,382,0.52668,0.264726,-8.262373091652572e-15,-5.508248727768381e-15,-1.731160158930072e-13,-1.4302598493631374e-13
47,569,416,330,0.288288,0.22869,-0.04660049850366974,0.02764186273374549,1.2337510953857167,-3.9679734131371185,,,,,,,,,492,436,0.34095600000000004,0.302148,-6.585063892623403e-15,-6.585063892623403e-15,-9.267664455204027e-14,4.2156525359222e-13,,,,,,,,,760,382,0.52668,0.264726,-1.3170127785246807e-14,-3.2925319463117017e-15,1.0360024566305486e-12,7.386887768711955e-13
48,577,416,330,0.288288,0.22869,-0.03588984828707633,-1.0092936587501423e-14,3.424512612441597,4.163837984815734e-13,,,,,,,,,492,436,0.34095600000000004,0.302148,-1.345724878333523e-14,-1.0092936587501423e-14,-3.5430313491098356e-13,5.612575795116582e-13,,,,,,,,,760,382,0.52668,0.264726,-1.345724878333523e-14,-6.728624391667615e-15,1.9128095685909614e-12,2.8272744115180675e-13
49,583,416,330,0.288288,0.22869,-0.019332234588750143,3.6484192328421755e-15,4.852232418390531,2.6655756990572256e-13,,,,,,,,,492,436,0.34095600000000004,0.302148,7.296838465684351e-15,7.296838465684351e-15,-2.4577687851295754e-14,7.401569004974282e-14,,,,,,,,,760,382,0.52668,0.264726,7.296838465684351e-15,3.6484192328421755e-15,-6.566387419525433e-15,-7.497057215962437e-13
50,589,416,330,0.288288,0.22869,0.0,3.71521969527863e-15,2.027875173311614e-13,3.5371178280128326e-13,,,,,,,,,492,436,0.34095600000000004,0.302148,7.43043939055726e-15,3.71521969527863e-15,1.3034851945954484e-12,-2.2199109563474776e-13,,,,,,,,,760,382,0.52668,0.264726,7.43043939055726e-15,7.43043939055726e-15,-5.11318302638132e-13,-3.5145824644143137e-14
