frame_no,time (ms),pos_pixel_x-darkorange,pos_pixel_y-darkorange,r_x-darkorange,r_y-darkorange,v_x-darkorange,v_y-darkorange,a_x-darkorange,a_y-darkorange,pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink,pos_pixel_x-yellowneon,pos_pixel_y-yellowneon,r_x-yellowneon,r_y-yellowneon,v_x-yellowneon,v_y-yellowneon,a_x-yellowneon,a_y-yellowneon
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,171,,,,,,,,,,,,,,,,,,,,,,,,,748,404,0.518364,0.279972,,,,
13,179,558,336,0.38669400000000004,0.232848,,,,,,,,,,,,,492,436,0.34095600000000004,0.302148,,,,,748,404,0.518364,0.279972,-2.3789279677026893e-14,-8.326247886959412e-15,1.91465062982631e-12,7.171058831556407e-13
14,198,558,336,0.38669400000000004,0.232848,1.1424100674951065e-14,3.808033558317022e-15,-1.879826959524293e-13,1.3658810004091064e-12,,,,,,,,,490,436,0.33957000000000004,0.302148,-0.032117266311747834,3.808033558317022e-15,3.921080598595551,3.5281462410050266e-13,748,404,0.518364,0.279972,1.1175813767516647e-14,2.793953441879162e-15,3.876157034110971e-12,1.9326042031663424e-12
15,206,558,336,0.38669400000000004,0.232848,5.260007648101686e-15,2.630003824050843e-15,-4.037211253224573e-13,1.1340016278304202e-13,,,,,,,,,490,436,0.33957000000000004,0.302148,-0.0246912516418172,2.630003824050843e-15,1.7632992794611035,2.7957778146483193e-13,748,404,0.518364,0.279972,0.0,0.0,-6.083682642575632e-13,-2.4367800942436037e-13
16,211,558,336,0.38669400000000004,0.232848,-3.779243127165474e-15,0.00991554388476708,6.186777019271677e-15,1.0147834152972102,,,,,,,,,490,436,0.33957000000000004,0.302148,-0.020713096552856313,0.0,1.2681304239432514,9.478542010466566e-14,748,404,0.518364,0.279972,-3.779243127165474e-15,0.0,-2.4303425372503977e-13,2.0112716252761122e-13
17,214,558,336,0.38669400000000004,0.232848,-1.7673871348288172e-15,0.007291660033185049,1.1101271203074218e-13,0.30461369126617854,,,,,,,,,490,436,0.33957000000000004,0.302148,3.5347742696576344e-15,8.836935674144086e-16,-2.017016376203611e-13,3.8987514071030304e-14,748,404,0.518364,0.279972,7.069548539315269e-15,4.418467837072043e-15,-9.955275574193888e-14,-2.816218184206819e-13
18,236,558,336,0.38669400000000004,0.232848,-1.9297285976133066e-15,0.02225802152655009,1.187398336583109e-12,1.1575409698608794,,,,,,,,,490,436,0.33957000000000004,0.302148,-1.9297285976133066e-15,-3.859457195226613e-15,5.476337028188279e-13,1.10107086310642e-12,748,404,0.518364,0.279972,-3.859457195226613e-15,-1.9297285976133066e-15,6.412515622441004e-13,8.187224889088808e-13
