frame_no,time (ms),pos_pixel_x-darkorange,pos_pixel_y-darkorange,r_x-darkorange,r_y-darkorange,v_x-darkorange,v_y-darkorange,a_x-darkorange,a_y-darkorange,pos_pixel_x-green,pos_pixel_y-green,r_x-green,r_y-green,v_x-green,v_y-green,a_x-green,a_y-green,pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink,pos_pixel_x-lightorange,pos_pixel_y-lightorange,r_x-lightorange,r_y-lightorange,v_x-lightorange,v_y-lightorange,a_x-lightorange,a_y-lightorange,pos_pixel_x-yellowneon,pos_pixel_y-yellowneon,r_x-yellowneon,r_y-yellowneon,v_x-yellowneon,v_y-yellowneon,a_x-yellowneon,a_y-yellowneon
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,52,,,,,,,,,714,874,0.494802,0.605682,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,67,,,,,,,,,714,874,0.494802,0.605682,1.8516580281334697e-15,0.04162926394917397,6.682644256431223e-13,-0.9247763748482708,,,,,,,,,,,,,,,,,,,,,,,,
7,82,,,,,,,,,714,876,0.494802,0.607068,1.6335643561715364e-15,0.027927577052135225,1.4178485145515236e-14,-0.8820062490426875,,,,,,,,,,,,,,,,,,,,,,,,
8,96,,,,,,,,,714,876,0.494802,0.607068,0.0,0.016716257624000506,2.5126490890716397e-13,-0.7944788687461106,,,,,,,,,676,560,0.46846800000000005,0.38808000000000004,,,,,,,,,,,,
9,115,,,,,,,,,714,876,0.494802,0.607068,-8.979697851429384e-15,0.00384900392710921,1.494435640531867e-13,-0.9770848920644046,,,,,,,,,678,560,0.46985400000000005,0.38808000000000004,,,,,,,,,,,,
10,129,676,560,0.46846800000000005,0.38808000000000004,,,,,714,876,0.494802,0.607068,3.164647246545288e-15,3.164647246545288e-15,1.45192138258248e-13,2.0106017961040389e-13,,,,,,,,,,,,,,,,,,,,,,,,
11,138,676,560,0.46846800000000005,0.38808000000000004,0.0,-5.463050359923149e-15,-1.9456061522593723e-14,5.823722499751874e-13,714,876,0.494802,0.607068,-7.070444496297426e-15,-0.016252703690004477,-5.266127732432417e-13,-0.9812649821729043,,,,,,,,,,,,,,,,,,,,,,,,
12,147,676,560,0.46846800000000005,0.38808000000000004,-4.908936460494638e-15,-0.0014811640782729147,4.2617204011933406e-13,-2.7056405346273174,714,876,0.494802,0.607068,-4.007476992942313e-15,-0.022877087386769066,1.0731782327804288e-12,-1.5430319693945267,,,,,,,,,,,,,,,,,,,,,,,,
13,161,676,560,0.46846800000000005,0.38808000000000004,7.699168433099917e-15,-0.022089854485595875,-8.194371035343755e-13,-0.9793325808201011,714,876,0.494802,0.607068,7.699168433099917e-15,-0.026608586459388,-9.590174178667038e-13,-0.1172309973952325,,,,,,,,,,,,,,,,,760,382,0.52668,0.264726,,,,
14,169,676,560,0.46846800000000005,0.38808000000000004,-3.5832294041243815e-15,-0.02425068138718749,-3.610193740121582e-13,-0.2051705821252457,714,874,0.494802,0.605682,0.0,-0.02716431223852519,-8.881142272503278e-14,0.6873542285048884,490,434,0.33957000000000004,0.30076200000000003,,,,,,,,,,,,,760,380,0.52668,0.26334,2.2685976137752704e-15,-0.022832223338519173,3.9941364991469055e-14,0.9919621772453235
15,178,676,558,0.46846800000000005,0.38669400000000004,-1.0934929893585931e-14,-0.027315707700360032,-2.6456648562072824e-13,0.43307569626142434,714,874,0.494802,0.605682,-7.289953262390621e-15,-0.025385101497820726,-1.0101232855737737e-13,1.3228113164184216,490,434,0.33957000000000004,0.30076200000000003,1.1189854185519887e-14,1.566579585972784e-14,-1.0844671192704639e-12,-1.3039717667604373e-12,,,,,,,,,760,380,0.52668,0.26334,8.468448957593398e-15,-0.01593831235605999,-9.220793623937938e-13,2.21429766272934
16,196,676,558,0.46846800000000005,0.38669400000000004,-3.2378202589063396e-15,-0.02117906595574872,-5.708780050759694e-13,0.9799106324438844,714,874,0.494802,0.605682,0.0,-0.012696419653524256,-9.039289041359018e-13,0.7515114360488072,490,434,0.33957000000000004,0.30076200000000003,1.88254532374116e-15,1.88254532374116e-15,-2.7714736589063367e-14,1.8825081151097483e-14,,,,,,,,,760,382,0.52668,0.264726,0.0,-0.0033102476196954483,-7.046577347591172e-13,-0.398717886953206
17,208,676,558,0.46846800000000005,0.38669400000000004,-2.4469489273196746e-14,-0.0016360978062493767,1.2192179157982283e-11,1.5487021613141512,714,874,0.494802,0.605682,-2.7528175432346337e-14,-2.4469489273196746e-14,1.328655138140115e-11,1.5603717579859435e-11,490,434,0.33957000000000004,0.30076200000000003,-1.6822773875322762e-14,-1.5293430795747965e-14,8.943663831792624e-12,7.96614887654281e-12,,,,,,,,,760,380,0.52668,0.26334,-2.4469489273196746e-14,8.875101056258688e-06,1.4084472661954734e-11,-1.27637527399297
