frame_no,time (ms),pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink
901,10028,426,226,0.38339999999999996,0.2034,,,,
902,10041,426,224,0.38339999999999996,0.2016,,,,
903,10050,426,224,0.38339999999999996,0.2016,,,,
904,10067,426,222,0.38339999999999996,0.1998,,,,
905,10073,428,222,0.3852,0.1998,,,,
906,10087,428,220,0.3852,0.19799999999999998,,,,
907,10095,432,220,0.3888,0.19799999999999998,,,,
908,10108,434,218,0.3906,0.19619999999999999,,,,
909,10118,438,218,0.3942,0.19619999999999999,,,,
910,10129,442,216,0.3978,0.1944,,,,
911,10145,446,216,0.4014,0.1944,,,,
912,10153,450,216,0.40499999999999997,0.1944,,,,
913,10165,456,214,0.4104,0.1926,,,,
914,10175,462,214,0.4158,0.1926,,,,
915,10186,468,214,0.42119999999999996,0.1926,,,,
916,10195,474,214,0.4266,0.1926,,,,
917,10208,482,214,0.43379999999999996,0.1926,,,,
918,10218,488,212,0.4392,0.1908,,,,
919,10232,494,212,0.4446,0.1908,,,,
920,10240,502,212,0.4518,0.1908,,,,
921,10253,508,212,0.4572,0.1908,,,,
922,10268,516,212,0.4644,0.1908,,,,
923,10274,522,212,0.4698,0.1908,,,,
924,10285,530,212,0.477,0.1908,,,,
925,10296,536,212,0.4824,0.1908,,,,
926,10306,542,212,0.4878,0.1908,,,,
927,10319,548,212,0.49319999999999997,0.1908,,,,
928,10328,554,214,0.4986,0.1926,,,,
929,10340,558,214,0.5022,0.1926,,,,
930,10352,562,214,0.5058,0.1926,,,,
931,10365,566,214,0.5094,0.1926,,,,
932,10373,570,216,0.513,0.1944,,,,
933,10383,572,216,0.5148,0.1944,,,,
934,10395,574,216,0.5166,0.1944,,,,
935,10407,576,218,0.5184,0.19619999999999999,,,,
936,10420,576,218,0.5184,0.19619999999999999,,,,
937,10432,578,220,0.5202,0.19799999999999998,,,,
938,10442,576,220,0.5184,0.19799999999999998,,,,
939,10453,576,220,0.5184,0.19799999999999998,,,,
940,10465,574,222,0.5166,0.1998,,,,
941,10473,572,224,0.5148,0.2016,,,,
942,10486,570,224,0.513,0.2016,,,,
943,10498,566,226,0.5094,0.2034,,,,
944,10506,562,226,0.5058,0.2034,,,,
945,10518,558,228,0.5022,0.2052,,,,
946,10532,552,230,0.49679999999999996,0.207,,,,
947,10539,548,230,0.49319999999999997,0.207,,,,
948,10554,540,232,0.486,0.20879999999999999,,,,
949,10562,536,232,0.4824,0.20879999999999999,,,,
950,10577,528,234,0.4752,0.21059999999999998,,,,
951,10584,522,234,0.4698,0.21059999999999998,,,,
952,10595,516,236,0.4644,0.2124,,,,
953,10607,508,238,0.4572,0.2142,,,,
954,10617,502,238,0.4518,0.2142,,,,
955,10630,494,240,0.4446,0.216,,,,
956,10639,488,242,0.4392,0.2178,,,,
957,10653,480,242,0.432,0.2178,,,,
958,10664,474,244,0.4266,0.2196,,,,
959,10672,468,246,0.42119999999999996,0.22139999999999999,,,,
960,10692,462,246,0.4158,0.22139999999999999,,,,
961,10700,456,248,0.4104,0.22319999999999998,,,,
962,10708,450,248,0.40499999999999997,0.22319999999999998,,,,
963,10718,446,250,0.4014,0.225,,,,
964,10729,442,250,0.3978,0.225,,,,
965,10739,438,252,0.3942,0.2268,,,,
966,10752,434,252,0.3906,0.2268,,,,
967,10765,432,254,0.3888,0.2286,,,,
968,10772,430,254,0.387,0.2286,,,,
969,10784,428,256,0.3852,0.2304,,,,
970,10796,428,258,0.3852,0.2322,,,,
971,10806,426,258,0.38339999999999996,0.2322,,,,
972,10818,426,260,0.38339999999999996,0.23399999999999999,,,,
973,10830,428,260,0.3852,0.23399999999999999,,,,
974,10839,430,260,0.387,0.23399999999999999,,,,
975,10853,432,262,0.3888,0.23579999999999998,,,,
976,10868,434,262,0.3906,0.23579999999999998,,,,
977,10872,438,262,0.3942,0.23579999999999998,,,,
978,10887,440,264,0.39599999999999996,0.2376,,,,
979,10896,446,264,0.4014,0.2376,,,,
980,10909,450,264,0.40499999999999997,0.2376,,,,
981,10918,456,266,0.4104,0.2394,,,,
982,10928,462,266,0.4158,0.2394,,,,
983,10940,466,266,0.4194,0.2394,,,,
984,10957,474,266,0.4266,0.2394,,,,
985,10963,480,268,0.432,0.2412,,,,
986,10973,486,268,0.4374,0.2412,,,,
987,10986,492,268,0.44279999999999997,0.2412,,,,
988,10995,500,268,0.45,0.2412,,,,
989,11016,506,268,0.45539999999999997,0.2412,,,,
990,11023,514,268,0.4626,0.2412,,,,
991,11037,520,268,0.46799999999999997,0.2412,,,,
992,11044,528,268,0.4752,0.2412,,,,
993,11052,,,,,,,,
994,11065,540,266,0.486,0.2394,,,,
995,11077,546,266,0.4914,0.2394,,,,
996,11084,552,266,0.49679999999999996,0.2394,,,,
997,11096,556,264,0.5004,0.2376,,,,
998,11108,560,264,0.504,0.2376,,,,
999,11118,564,264,0.5075999999999999,0.2376,,,,
1000,11130,568,262,0.5112,0.23579999999999998,,,,
1001,11143,570,262,0.513,0.23579999999999998,,,,
1002,11153,572,260,0.5148,0.23399999999999999,,,,
1003,11163,,,,,,,,
1004,11174,574,258,0.5166,0.2322,,,,
1005,11187,576,258,0.5184,0.2322,,,,
1006,11196,576,256,0.5184,0.2304,,,,
1007,11210,574,254,0.5166,0.2286,,,,
1008,11221,574,254,0.5166,0.2286,,,,
1009,11229,572,252,0.5148,0.2268,,,,
1010,11240,570,250,0.513,0.225,,,,
1011,11251,,,,,,,,
1012,11264,,,,,,,,
1013,11273,558,246,0.5022,0.22139999999999999,,,,
1014,11286,552,244,0.49679999999999996,0.2196,,,,
1015,11294,548,242,0.49319999999999997,0.2178,,,,
1016,11308,542,240,0.4878,0.216,,,,
1017,11318,,,,,,,,
1018,11329,530,238,0.477,0.2142,,,,
1019,11339,524,236,0.47159999999999996,0.2124,,,,
1020,11352,516,234,0.4644,0.21059999999999998,,,,
1021,11362,510,232,0.45899999999999996,0.20879999999999999,,,,
1022,11373,502,230,0.4518,0.207,,,,
1023,11385,496,228,0.44639999999999996,0.2052,,,,
1024,11399,490,226,0.441,0.2034,,,,
1025,11408,482,226,0.43379999999999996,0.2034,,,,
1026,11425,476,224,0.4284,0.2016,,,,
1027,11433,470,222,0.423,0.1998,,,,
1028,11440,464,220,0.41759999999999997,0.19799999999999998,,,,
1029,11453,458,220,0.4122,0.19799999999999998,,,,
1030,11464,452,218,0.4068,0.19619999999999999,,,,
1031,11476,448,216,0.4032,0.1944,,,,
1032,11483,444,256,0.3996,0.2304,,,,
1033,11495,440,214,0.39599999999999996,0.1926,,,,
1034,11507,436,212,0.39239999999999997,0.1908,,,,
1035,11519,432,210,0.3888,0.189,,,,
1036,11532,430,210,0.387,0.189,,,,
1037,11541,428,208,0.3852,0.1872,,,,
1038,11552,428,208,0.3852,0.1872,,,,
1039,11564,426,206,0.38339999999999996,0.18539999999999998,,,,
1040,11575,428,206,0.3852,0.18539999999999998,,,,
1041,11585,428,204,0.3852,0.18359999999999999,,,,
1042,11595,428,204,0.3852,0.18359999999999999,,,,
1043,11607,432,204,0.3888,0.18359999999999999,,,,
1044,11618,434,202,0.3906,0.1818,,,,
1045,11629,436,202,0.39239999999999997,0.1818,,,,
1046,11642,440,202,0.39599999999999996,0.1818,,,,
1047,11652,444,202,0.3996,0.1818,,,,
1048,11663,448,202,0.4032,0.1818,,,,
1049,11674,454,200,0.40859999999999996,0.18,,,,
1050,11691,460,200,0.414,0.18,,,,
1051,11697,466,200,0.4194,0.18,,,,
1052,11708,472,200,0.4248,0.18,,,,
1053,11717,478,200,0.43019999999999997,0.18,,,,
1054,11731,484,200,0.4356,0.18,,,,
1055,11740,492,200,0.44279999999999997,0.18,,,,
1056,11758,498,202,0.4482,0.1818,,,,
1057,11766,506,202,0.45539999999999997,0.1818,,,,
1058,11773,512,202,0.4608,0.1818,,,,
1059,11787,518,202,0.4662,0.1818,,,,
1060,11795,526,204,0.4734,0.18359999999999999,,,,
1061,11808,532,204,0.4788,0.18359999999999999,,,,
1062,11820,538,204,0.48419999999999996,0.18359999999999999,,,,
1063,11832,544,206,0.4896,0.18539999999999998,,,,
1064,11841,550,208,0.495,0.1872,,,,
1065,11851,554,208,0.4986,0.1872,,,,
1066,11862,558,210,0.5022,0.189,,,,
1067,11874,562,210,0.5058,0.189,,,,
1068,11884,566,212,0.5094,0.1908,,,,
1069,11898,570,214,0.513,0.1926,,,,
1070,11908,570,214,0.513,0.1926,,,,
1071,11927,572,216,0.5148,0.1944,,,,
1072,11938,574,218,0.5166,0.19619999999999999,,,,
1073,11941,574,218,0.5166,0.19619999999999999,,,,
1074,11953,574,220,0.5166,0.19799999999999998,,,,
1075,11961,574,222,0.5166,0.1998,,,,
1076,11977,574,224,0.5166,0.2016,,,,
1077,11985,572,226,0.5148,0.2034,,,,
1078,11995,570,228,0.513,0.2052,,,,
1079,12008,566,228,0.5094,0.2052,,,,
1080,12019,562,230,0.5058,0.207,,,,
1081,12031,558,232,0.5022,0.20879999999999999,,,,
1082,12043,,,,,,,,
1083,12053,550,236,0.495,0.2124,,,,
1084,12064,544,238,0.4896,0.2142,,,,
1085,12073,538,240,0.48419999999999996,0.216,,,,
1086,12083,532,242,0.4788,0.2178,,,,
1087,12101,524,244,0.47159999999999996,0.2196,,,,
1088,12108,518,244,0.4662,0.2196,,,,
1089,12118,512,246,0.4608,0.22139999999999999,,,,
1090,12133,504,248,0.4536,0.22319999999999998,,,,
1091,12139,498,250,0.4482,0.225,,,,
1092,12151,492,252,0.44279999999999997,0.2268,,,,
1093,12164,484,252,0.4356,0.2268,,,,
1094,12174,478,254,0.43019999999999997,0.2286,,,,
1095,12184,472,256,0.4248,0.2304,,,,
1096,12195,466,258,0.4194,0.2322,,,,
1097,12206,460,258,0.414,0.2322,,,,
1098,12218,454,260,0.40859999999999996,0.23399999999999999,,,,
1099,12232,450,262,0.40499999999999997,0.23579999999999998,,,,
1100,12245,446,262,0.4014,0.23579999999999998,,,,
1101,12250,442,264,0.3978,0.2376,,,,
1102,12270,438,266,0.3942,0.2394,,,,
1103,12280,434,266,0.3906,0.2394,,,,
1104,12287,434,268,0.3906,0.2412,,,,
1105,12296,432,268,0.3888,0.2412,,,,
1106,12310,430,270,0.387,0.243,,,,
