frame_no,time (ms),pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink
1693,18848,584,230,0.5256,0.207,,,,
1694,18864,570,230,0.513,0.207,,,,
1695,18872,556,230,0.5004,0.207,,,,
1696,18884,544,230,0.4896,0.207,,,,
1697,18899,532,230,0.4788,0.207,,,,
1698,18909,520,230,0.46799999999999997,0.207,,,,
1699,18915,510,230,0.45899999999999996,0.207,,,,
1700,18929,498,230,0.4482,0.207,,,,
1701,18938,490,230,0.441,0.207,,,,
1702,18950,482,230,0.43379999999999996,0.207,,,,
1703,18963,474,230,0.4266,0.207,,,,
1704,18974,468,230,0.42119999999999996,0.207,,,,
1705,18983,462,232,0.4158,0.20879999999999999,,,,
1706,18996,458,232,0.4122,0.20879999999999999,,,,
1707,19008,454,232,0.40859999999999996,0.20879999999999999,,,,
1708,19019,450,232,0.40499999999999997,0.20879999999999999,,,,
1709,19029,450,232,0.40499999999999997,0.20879999999999999,,,,
1710,19038,448,232,0.4032,0.20879999999999999,,,,
1711,19051,448,232,0.4032,0.20879999999999999,,,,
1712,19059,450,232,0.40499999999999997,0.20879999999999999,,,,
1713,19074,452,234,0.4068,0.21059999999999998,,,,
1714,19082,456,234,0.4104,0.21059999999999998,,,,
1715,19095,460,234,0.414,0.21059999999999998,,,,
1716,19107,466,234,0.4194,0.21059999999999998,,,,
1717,19117,472,234,0.4248,0.21059999999999998,,,,
1718,19129,480,236,0.432,0.2124,,,,
1719,19138,486,236,0.4374,0.2124,,,,
1720,19151,496,236,0.44639999999999996,0.2124,,,,
1721,19168,506,236,0.45539999999999997,0.2124,,,,
1722,19179,516,236,0.4644,0.2124,,,,
1723,19182,528,238,0.4752,0.2142,,,,
1724,19201,540,238,0.486,0.2142,,,,
1725,19211,552,238,0.49679999999999996,0.2142,,,,
1726,19217,566,238,0.5094,0.2142,,,,
1727,19234,580,238,0.522,0.2142,,,,
1728,19244,594,240,0.5346,0.216,,,,
1729,19250,608,240,0.5472,0.216,,,,
1730,19264,622,240,0.5598,0.216,,,,
1731,19272,638,240,0.5741999999999999,0.216,,,,
1732,19283,652,240,0.5868,0.216,,,,
1733,19298,668,240,0.6012,0.216,,,,
1734,19304,682,240,0.6138,0.216,,,,
1735,19319,698,242,0.6282,0.2178,,,,
