frame_no,time (ms),pos_pixel_x-hotpink,pos_pixel_y-hotpink,r_x-hotpink,r_y-hotpink,v_x-hotpink,v_y-hotpink,a_x-hotpink,a_y-hotpink
907,10074,504,180,0.4536,0.162,,,,
908,10083,508,180,0.4572,0.162,,,,
909,10097,516,180,0.4644,0.162,,,,
910,10109,522,180,0.4698,0.162,,,,
911,10118,530,180,0.477,0.162,,,,
912,10133,538,182,0.48419999999999996,0.1638,,,,
913,10143,546,182,0.4914,0.1638,,,,
914,10154,554,182,0.4986,0.1638,,,,
915,10164,562,182,0.5058,0.1638,,,,
916,10171,572,184,0.5148,0.1656,,,,
917,10183,580,184,0.522,0.1656,,,,
918,10193,590,186,0.531,0.1674,,,,
919,10204,598,188,0.5382,0.1692,,,,
920,10216,606,188,0.5454,0.1692,,,,
921,10228,616,190,0.5544,0.17099999999999999,,,,
922,10237,624,192,0.5616,0.1728,,,,
923,10250,630,194,0.567,0.1746,,,,
924,10260,638,196,0.5741999999999999,0.1764,,,,
925,10272,644,196,0.5796,0.1764,,,,
926,10282,650,198,0.585,0.1782,,,,
927,10293,656,200,0.5904,0.18,,,,
928,10304,662,202,0.5958,0.1818,,,,
929,10315,666,204,0.5993999999999999,0.18359999999999999,,,,
930,10328,670,208,0.603,0.1872,,,,
931,10337,672,210,0.6048,0.189,,,,
932,10349,674,212,0.6066,0.1908,,,,
933,10359,676,214,0.6083999999999999,0.1926,,,,
934,10371,678,218,0.6102,0.19619999999999999,,,,
935,10384,676,220,0.6083999999999999,0.19799999999999998,,,,
936,10394,676,222,0.6083999999999999,0.1998,,,,
937,10406,676,226,0.6083999999999999,0.2034,,,,
938,10415,672,228,0.6048,0.2052,,,,
939,10428,670,232,0.603,0.20879999999999999,,,,
940,10437,666,234,0.5993999999999999,0.21059999999999998,,,,
941,10449,,,,,,,,
942,10461,658,240,0.5922,0.216,,,,
943,10472,652,242,0.5868,0.2178,,,,
944,10492,646,244,0.5814,0.2196,,,,
945,10496,638,248,0.5741999999999999,0.22319999999999998,,,,
946,10503,632,250,0.5688,0.225,,,,
947,10517,624,252,0.5616,0.2268,,,,
948,10526,618,254,0.5562,0.2286,,,,
949,10538,610,256,0.5489999999999999,0.2304,,,,
950,10552,602,260,0.5418,0.23399999999999999,,,,
951,10560,594,262,0.5346,0.23579999999999998,,,,
952,10572,586,264,0.5274,0.2376,,,,
953,10581,578,266,0.5202,0.2394,,,,
954,10594,570,268,0.513,0.2412,,,,
955,10604,562,270,0.5058,0.243,,,,
956,10614,554,272,0.4986,0.2448,,,,
957,10629,546,274,0.4914,0.24659999999999999,,,,
958,10638,536,320,0.4824,0.288,,,,
959,10648,528,322,0.4752,0.2898,,,,
960,10661,522,324,0.4698,0.29159999999999997,,,,
961,10671,514,326,0.4626,0.2934,,,,
962,10681,510,326,0.45899999999999996,0.2934,,,,
963,10692,504,328,0.4536,0.2952,,,,
964,10704,500,330,0.45,0.297,,,,
965,10715,500,288,0.45,0.2592,,,,
966,10727,492,332,0.44279999999999997,0.2988,,,,
967,10737,490,332,0.441,0.2988,,,,
968,10750,488,334,0.4392,0.3006,,,,
969,10760,492,292,0.44279999999999997,0.2628,,,,
970,10772,486,336,0.4374,0.3024,,,,
971,10781,490,294,0.441,0.2646,,,,
972,10794,488,336,0.4392,0.3024,,,,
973,10804,488,338,0.4392,0.30419999999999997,,,,
974,10816,494,296,0.4446,0.26639999999999997,,,,
975,10826,494,340,0.4446,0.306,,,,
976,10840,500,298,0.45,0.2682,,,,
977,10848,504,298,0.4536,0.2682,,,,
978,10864,508,298,0.4572,0.2682,,,,
979,10870,510,340,0.45899999999999996,0.306,,,,
980,10890,518,298,0.4662,0.2682,,,,
981,10896,520,340,0.46799999999999997,0.306,,,,
982,10905,528,340,0.4752,0.306,,,,
983,10915,534,340,0.48059999999999997,0.306,,,,
984,10926,546,298,0.4914,0.2682,,,,
985,10938,554,298,0.4986,0.2682,,,,
986,10951,562,298,0.5058,0.2682,,,,
987,10960,564,340,0.5075999999999999,0.306,,,,
988,10973,572,338,0.5148,0.30419999999999997,,,,
989,10982,580,338,0.522,0.30419999999999997,,,,
990,10993,594,294,0.5346,0.2646,,,,
991,11003,602,292,0.5418,0.2628,,,,
992,11017,604,336,0.5436,0.3024,,,,
993,11026,616,290,0.5544,0.261,,,,
994,11037,624,288,0.5616,0.2592,,,,
995,11052,632,286,0.5688,0.2574,,,,
996,11060,638,284,0.5741999999999999,0.2556,,,,
997,11072,644,282,0.5796,0.25379999999999997,,,,
998,11083,650,280,0.585,0.252,,,,
999,11096,656,278,0.5904,0.2502,,,,
1000,11107,660,276,0.594,0.24839999999999998,,,,
1001,11115,664,274,0.5976,0.24659999999999999,,,,
1002,11127,668,272,0.6012,0.2448,,,,
1003,11144,670,270,0.603,0.243,,,,
1004,11152,672,266,0.6048,0.2394,,,,
1005,11161,674,264,0.6066,0.2376,,,,
1006,11172,674,260,0.6066,0.23399999999999999,,,,
1007,11181,674,258,0.6066,0.2322,,,,
1008,11193,674,256,0.6066,0.2304,,,,
1009,11204,672,252,0.6048,0.2268,,,,
1010,11216,670,248,0.603,0.22319999999999998,,,,
1011,11227,666,246,0.5993999999999999,0.22139999999999999,,,,
1012,11239,664,242,0.5976,0.2178,,,,
1013,11250,658,238,0.5922,0.2142,,,,
1014,11259,654,236,0.5886,0.2124,,,,
1015,11270,648,232,0.5831999999999999,0.20879999999999999,,,,
1016,11283,642,228,0.5778,0.2052,,,,
1017,11297,636,226,0.5724,0.2034,,,,
1018,11306,628,222,0.5652,0.1998,,,,
1019,11317,620,220,0.5579999999999999,0.19799999999999998,,,,
1020,11328,614,216,0.5526,0.1944,,,,
1021,11342,606,214,0.5454,0.1926,,,,
1022,11349,596,210,0.5364,0.189,,,,
1023,11365,588,208,0.5292,0.1872,,,,
1024,11375,580,204,0.522,0.18359999999999999,,,,
1025,11385,572,202,0.5148,0.1818,,,,
1026,11395,564,200,0.5075999999999999,0.18,,,,
1027,11405,554,196,0.4986,0.1764,,,,
1028,11415,546,194,0.4914,0.1746,,,,
1029,11426,540,192,0.486,0.1728,,,,
1030,11437,532,188,0.4788,0.1692,,,,
1031,11449,524,186,0.47159999999999996,0.1674,,,,
1032,11460,518,184,0.4662,0.1656,,,,
1033,11470,512,182,0.4608,0.1638,,,,
1034,11481,506,180,0.45539999999999997,0.162,,,,
1035,11496,500,178,0.45,0.1602,,,,
1036,11505,496,176,0.44639999999999996,0.15839999999999999,,,,
1037,11515,492,176,0.44279999999999997,0.15839999999999999,,,,
1038,11525,490,174,0.441,0.1566,,,,
1039,11538,488,172,0.4392,0.1548,,,,
1040,11549,486,170,0.4374,0.153,,,,
1041,11559,486,170,0.4374,0.153,,,,
1042,11571,486,170,0.4374,0.153,,,,
1043,11584,486,168,0.4374,0.1512,,,,
1044,11593,488,168,0.4392,0.1512,,,,
1045,11605,490,168,0.441,0.1512,,,,
1046,11617,492,166,0.44279999999999997,0.1494,,,,
1047,11626,496,166,0.44639999999999996,0.1494,,,,
1048,11637,500,166,0.45,0.1494,,,,
1049,11648,506,166,0.45539999999999997,0.1494,,,,
1050,11660,510,168,0.45899999999999996,0.1512,,,,
1051,11671,516,168,0.4644,0.1512,,,,
1052,11687,524,168,0.47159999999999996,0.1512,,,,
1053,11700,530,168,0.477,0.1512,,,,
1054,11709,538,170,0.48419999999999996,0.153,,,,
1055,11718,546,170,0.4914,0.153,,,,
1056,11726,554,172,0.4986,0.1548,,,,
1057,11737,562,172,0.5058,0.1548,,,,
1058,11751,570,174,0.513,0.1566,,,,
1059,11760,578,176,0.5202,0.15839999999999999,,,,
1060,11775,588,178,0.5292,0.1602,,,,
1061,11783,596,180,0.5364,0.162,,,,
1062,11792,604,182,0.5436,0.1638,,,,
1063,11804,612,184,0.5508,0.1656,,,,
1064,11814,620,186,0.5579999999999999,0.1674,,,,
1065,11825,628,188,0.5652,0.1692,,,,
1066,11837,634,192,0.5706,0.1728,,,,
1067,11849,640,194,0.576,0.1746,,,,
1068,11860,646,196,0.5814,0.1764,,,,
1069,11870,652,200,0.5868,0.18,,,,
1070,11882,656,202,0.5904,0.1818,,,,
1071,11893,660,204,0.594,0.18359999999999999,,,,
1072,11904,664,208,0.5976,0.1872,,,,
1073,11917,668,210,0.6012,0.189,,,,
1074,11932,670,214,0.603,0.1926,,,,
1075,11938,672,218,0.6048,0.19619999999999999,,,,
1076,11950,672,220,0.6048,0.19799999999999998,,,,
1077,11962,672,224,0.6048,0.2016,,,,
1078,11975,672,228,0.6048,0.2052,,,,
1079,11982,672,230,0.6048,0.207,,,,
1080,11996,670,234,0.603,0.21059999999999998,,,,
1081,12004,666,238,0.5993999999999999,0.2142,,,,
1082,12014,664,240,0.5976,0.216,,,,
1083,12026,660,244,0.594,0.2196,,,,
1084,12037,654,246,0.5886,0.22139999999999999,,,,
1085,12048,650,250,0.585,0.225,,,,
1086,12060,644,254,0.5796,0.2286,,,,
1087,12070,638,256,0.5741999999999999,0.2304,,,,
1088,12081,632,258,0.5688,0.2322,,,,
1089,12092,624,262,0.5616,0.23579999999999998,,,,
1090,12104,618,264,0.5562,0.2376,,,,
1091,12115,610,268,0.5489999999999999,0.2412,,,,
1092,12126,602,270,0.5418,0.243,,,,
1093,12137,594,272,0.5346,0.2448,,,,
1094,12149,,,,,,,,
1095,12159,578,278,0.5202,0.2502,,,,
1096,12172,570,280,0.513,0.252,,,,
1097,12181,562,282,0.5058,0.25379999999999997,,,,
1098,12193,556,284,0.5004,0.2556,,,,
1099,12205,544,330,0.4896,0.297,,,,
1100,12214,538,332,0.48419999999999996,0.2988,,,,
1101,12226,530,334,0.477,0.3006,,,,
1102,12238,524,336,0.47159999999999996,0.3024,,,,
1103,12248,522,294,0.4698,0.2646,,,,
1104,12265,516,296,0.4644,0.26639999999999997,,,,
1105,12275,512,298,0.4608,0.2682,,,,
1106,12282,502,342,0.4518,0.3078,,,,
1107,12294,498,342,0.4482,0.3078,,,,
